"","group","MDS1","MDS2"
"1","1961",0.094220446252576,0.0182856853607274
"2","1962",0.0875423562127246,0.00796640275243904
"3","1963",0.0937216164647647,0.00868404125911737
"4","1964",0.0896843719829629,0.0219923386501548
"5","1965",0.081669755155807,0.0273671424950069
"6","1966",0.0753478970806994,0.0119638874913168
"7","1967",0.0570977621936058,0.0204012828812591
"8","1968",0.0623232328936832,0.021430609582812
"9","1969",0.0639528557622614,0.00984002155055888
"10","1970",0.0523951138110162,0.00505730023110036
"11","1971",0.0512106578590262,0.00797813271266778
"12","1972",0.0447396711272546,0.0196348612994876
"13","1973",0.0483659766630627,0.0153363562155157
"14","1974",0.0397555058766475,0.0112044598832339
"15","1975",0.0404156508390544,0.0169679070572546
"16","1976",0.0390218983250781,0.0267660476567307
"17","1977",0.0284912771504288,0.00926001036953201
"18","1978",0.0201042728318917,0.01520243853425
"19","1979",0.019608336494902,0.00788093906951786
"20","1980",0.0122191377297125,0.0159825444094148
"21","1981",0.0108270242937563,0.0203673449795582
"22","1982",0.00261358360010936,0.0110386224550988
"23","1983",-0.00474345900511143,0.00375721399169074
"24","1984",-0.00409143010599586,-0.000534226981848133
"25","1985",-0.00654436789738001,-0.0038020345884963
"26","1986",-0.00363124191408913,-0.0083544689687563
"27","1987",-0.0110784087608749,-0.00858166107713039
"28","1988",-0.013676791959641,-0.00842817340058761
"29","1989",-0.017774572458265,-0.012503025140085
"30","1990",-0.0165706511411544,-0.0158707917961025
"31","1991",-0.0178630099278104,-0.00745677301081
"32","1992",-0.0297079491060899,-0.00821551246476755
"33","1993",-0.0290086771742799,-0.00569025315103433
"34","1994",-0.032252939605103,-0.0119327005248523
"35","1995",-0.0365212878345499,-0.0132461866161142
"36","1996",-0.0391932093324849,-0.0219328782137123
"37","1997",-0.0521426539976058,-0.0130135629748006
"38","1998",-0.0495930243123167,-0.0197805672307953
"39","1999",-0.0575324625473603,-0.0193626234128345
"40","2000",-0.064953893892379,-0.0207685163599314
"41","2001",-0.0608719492335856,-0.0159919441558168
"42","2002",-0.0629412857012295,-0.012897297927015
"43","2003",-0.0653417984089184,-0.0162945884351071
"44","2004",-0.0684486828553695,-0.0180163309476612
"45","2005",-0.0739590420225765,-0.0204634147788986
"46","2006",-0.0720354704688098,-0.0181972196528186
"47","2007",-0.0760353027320179,-0.00952819053621478
"48","2008",-0.0719488860751503,-0.00883298843638986
"49","2009",-0.0768659521308763,-0.0146696601058646
