Country,Year,ElementName,MDS1,MDS2
Albania,1960,Calories,-0.522925808,-0.346053435
Algeria,1960,Calories,-0.327517555,-0.212312356
Angola,1960,Calories,0.516587004,0.036168539
Antigua and Barbuda,1960,Calories,-0.330913419,0.228619383
Argentina,1960,Calories,-0.301968936,-0.12083865
Australia,1960,Calories,-0.301914781,-0.02677942
Austria,1960,Calories,-0.331682954,-0.044953366
Bahamas,1960,Calories,-0.278902585,0.141208669
Bangladesh,1960,Calories,0.193745389,0.38175896
Barbados,1960,Calories,-0.154304338,0.203918654
Belgium-Luxembourg,1960,Calories,-0.219889078,-0.039353377
Belize,1960,Calories,-0.281736455,0.295228074
Benin,1960,Calories,0.628538088,0.006571978
Bermuda,1960,Calories,-0.410677369,0.156882802
Bolivia (Plurinational State of),1960,Calories,-0.070996589,-0.015381644
Botswana,1960,Calories,0.329091664,-0.571951313
Brazil,1960,Calories,0.039563976,0.019694018
Brunei Darussalam,1960,Calories,-0.008602797,0.157368607
Bulgaria,1960,Calories,-0.419016638,-0.205141201
Burkina Faso,1960,Calories,0.804686323,-0.357262933
Burundi,1960,Calories,0.957064409,0.191851355
Côte d’Ivoire,1960,Calories,0.54219942,0.154218341
Cambodia,1960,Calories,0.307435724,0.49332924
Cameroon,1960,Calories,0.560789532,-0.031541012
Canada,1960,Calories,-0.263018622,-0.039906116
Cape Verde,1960,Calories,0.277652563,0.300568894
Central African Republic,1960,Calories,0.825283217,-0.039967955
Chad,1960,Calories,0.727771028,-0.374572792
Chile,1960,Calories,-0.384293302,-0.131847099
China,1960,Calories,0.129067847,-0.3031757
Colombia,1960,Calories,0.049772252,0.058961653
Comoros,1960,Calories,0.514059631,0.693211025
Congo,1960,Calories,0.478982911,0.264052606
Costa Rica,1960,Calories,0.068141348,0.191914973
Cuba,1960,Calories,-0.10669303,0.121664528
Cyprus,1960,Calories,-0.249634636,-0.165748325
Czechoslovakia,1960,Calories,-0.333213715,-0.110717541
Democratic People's Republic of Korea,1960,Calories,-0.192503685,-0.574114419
Denmark,1960,Calories,-0.40221472,0.000815067
Djibouti,1960,Calories,-0.542557644,0.627299421
Dominica,1960,Calories,-0.23251534,0.354101694
Dominican Republic,1960,Calories,0.073456932,0.110054175
Ecuador,1960,Calories,0.029344523,0.034892887
Egypt,1960,Calories,0.036343724,-0.404942543
El Salvador,1960,Calories,-0.035589848,0.258272841
Ethiopia PDR,1960,Calories,0.366956258,-0.556903317
