Measurement,Abbrev,Country Name,Year,Total_Value
Calories,Apples,Apples,1961,776
Fat,Apples,Apples,1961,5.1
Protein,Apples,Apples,1961,4.1
Weight,Apples,Apples,1961,1623.013699
Calories,Bananas & plantains,Bananas & plantains,1961,6392
Fat,Bananas & plantains,Bananas & plantains,1961,13.5
Protein,Bananas & plantains,Bananas & plantains,1961,70.8
Weight,Bananas & plantains,Bananas & plantains,1961,8938.630137
Calories,Barley,Barley,1961,5194
Fat,Barley,Barley,1961,11.1
Protein,Barley,Barley,1961,100.7
Weight,Barley,Barley,1961,6784.383562
Calories,Beans,Beans,1961,4011
Fat,Beans,Beans,1961,17.9
Protein,Beans,Beans,1961,257.4
Weight,Beans,Beans,1961,1187.123288
Calories,"Beverages, alcoholic","Beverages, alcoholic",1961,2389
Fat,"Beverages, alcoholic","Beverages, alcoholic",1961,0
Protein,"Beverages, alcoholic","Beverages, alcoholic",1961,0
Weight,"Beverages, alcoholic","Beverages, alcoholic",1961,813.1506849
Calories,"Beverages, fermented","Beverages, fermented",1961,1424
Fat,"Beverages, fermented","Beverages, fermented",1961,0.3
Protein,"Beverages, fermented","Beverages, fermented",1961,15.5
Weight,"Beverages, fermented","Beverages, fermented",1961,3380
Calories,Cassava,Cassava,1961,12946
Fat,Cassava,Cassava,1961,17.8
Protein,Cassava,Cassava,1961,94.9
Weight,Cassava,Cassava,1961,12870.41096
Calories,"Cereals, other","Cereals, other",1961,3020
Fat,"Cereals, other","Cereals, other",1961,12.6
Protein,"Cereals, other","Cereals, other",1961,80.6
Weight,"Cereals, other","Cereals, other",1961,1041.09589
Calories,"Citrus, other","Citrus, other",1961,86
Fat,"Citrus, other","Citrus, other",1961,0.6
Protein,"Citrus, other","Citrus, other",1961,1.4
Weight,"Citrus, other","Citrus, other",1961,330.1369863
Calories,Cloves,Cloves,1961,1
Fat,Cloves,Cloves,1961,0.1
Protein,Cloves,Cloves,1961,0
Weight,Cloves,Cloves,1961,0.273972603
Calories,Cocoa beans,Cocoa beans,1961,338
Fat,Cocoa beans,Cocoa beans,1961,29.3
Protein,Cocoa beans,Cocoa beans,1961,10.9
Weight,Cocoa beans,Cocoa beans,1961,153.1506849
Calories,Coconuts,Coconuts,1961,8430
Fat,Coconuts,Coconuts,1961,848.6
Protein,Coconuts,Coconuts,1961,47.6
Weight,Coconuts,Coconuts,1961,4231.232877
Calories,Coffee,Coffee,1961,234
Fat,Coffee,Coffee,1961,0
Protein,Coffee,Coffee,1961,30.8
Weight,Coffee,Coffee,1961,518.630137
Calories,Cottonseed oil,Cottonseed oil,1961,1523
Fat,Cottonseed oil,Cottonseed oil,1961,172.2
Protein,Cottonseed oil,Cottonseed oil,1961,0
Weight,Cottonseed oil,Cottonseed oil,1961,172.6027397
Calories,Dates,Dates,1961,734
Fat,Dates,Dates,1961,1.7
Protein,Dates,Dates,1961,6.6
Weight,Dates,Dates,1961,453.6986301
Calories,"Fruits, other","Fruits, other",1961,3744
Fat,"Fruits, other","Fruits, other",1961,51.2
Protein,"Fruits, other","Fruits, other",1961,45.7
Weight,"Fruits, other","Fruits, other",1961,8370.410959
Calories,Grapefruit,Grapefruit,1961,96
Fat,Grapefruit,Grapefruit,1961,0.2
Protein,Grapefruit,Grapefruit,1961,1.2
Weight,Grapefruit,Grapefruit,1961,493.1506849
Calories,Grapes,Grapes,1961,3054
Fat,Grapes,Grapes,1961,3.6
Protein,Grapes,Grapes,1961,10.9
Weight,Grapes,Grapes,1961,4520.821918
Calories,Groundnut,Groundnut,1961,5197
Fat,Groundnut,Groundnut,1961,509.2
Protein,Groundnut,Groundnut,1961,110.6
Weight,Groundnut,Groundnut,1961,764.3835616
Calories,Lemons & limes,Lemons & limes,1961,101
Fat,Lemons & limes,Lemons & limes,1961,1.5
Protein,Lemons & limes,Lemons & limes,1961,1.3
Weight,Lemons & limes,Lemons & limes,1961,596.4383562
Calories,Maize,Maize,1961,25591
Fat,Maize,Maize,1961,268.9
Protein,Maize,Maize,1961,644.3
Weight,Maize,Maize,1961,8121.643836
Calories,Millets,Millets,1961,6592
Fat,Millets,Millets,1961,60.5
Protein,Millets,Millets,1961,163.1
Weight,Millets,Millets,1961,2304.383562
Calories,Oats,Oats,1961,595
Fat,Oats,Oats,1961,9.8
Protein,Oats,Oats,1961,22.9
Weight,Oats,Oats,1961,271.2328767
Calories,"Oilcrops, other","Oilcrops, other",1961,2026
Fat,"Oilcrops, other","Oilcrops, other",1961,222.8
Protein,"Oilcrops, other","Oilcrops, other",1961,10.4
Weight,"Oilcrops, other","Oilcrops, other",1961,262.4657534
Calories,Olives,Olives,1961,2087
Fat,Olives,Olives,1961,234.8
Protein,Olives,Olives,1961,1.4
Weight,Olives,Olives,1961,352.3287671
Calories,Onions,Onions,1961,485
Fat,Onions,Onions,1961,0.7
Protein,Onions,Onions,1961,15.8
Weight,Onions,Onions,1961,1240.273973
Calories,Oranges & mandarines,Oranges & mandarines,1961,891
Fat,Oranges & mandarines,Oranges & mandarines,1961,2
Protein,Oranges & mandarines,Oranges & mandarines,1961,15.5
Weight,Oranges & mandarines,Oranges & mandarines,1961,3040.821918
Calories,Palm oil,Palm oil,1961,2767
Fat,Palm oil,Palm oil,1961,311.8
Protein,Palm oil,Palm oil,1961,0.5
Weight,Palm oil,Palm oil,1961,310.4109589
Calories,Peas,Peas,1961,881
Fat,Peas,Peas,1961,3.2
Protein,Peas,Peas,1961,58.4
Weight,Peas,Peas,1961,260.2739726
Calories,Pepper,Pepper,1961,27
Fat,Pepper,Pepper,1961,0
Protein,Pepper,Pepper,1961,0.4
Weight,Pepper,Pepper,1961,10.4109589
Calories,Pimento,Pimento,1961,276
Fat,Pimento,Pimento,1961,11.8
Protein,Pimento,Pimento,1961,10.9
Weight,Pimento,Pimento,1961,94.52054795
Calories,Pineapples,Pineapples,1961,186
Fat,Pineapples,Pineapples,1961,0.4
Protein,Pineapples,Pineapples,1961,1
Weight,Pineapples,Pineapples,1961,568.2191781
Calories,Potatoes,Potatoes,1961,7400
Fat,Potatoes,Potatoes,1961,11.6
Protein,Potatoes,Potatoes,1961,178.6
Weight,Potatoes,Potatoes,1961,10863.28767
Calories,"Pulses, other","Pulses, other",1961,4739
Fat,"Pulses, other","Pulses, other",1961,30.6
Protein,"Pulses, other","Pulses, other",1961,303.1
Weight,"Pulses, other","Pulses, other",1961,1397.260274
Calories,Rape & mustard,Rape & mustard,1961,656
Fat,Rape & mustard,Rape & mustard,1961,72.7
Protein,Rape & mustard,Rape & mustard,1961,2.1
Weight,Rape & mustard,Rape & mustard,1961,78.63013699
Calories,Rice,Rice,1961,39083
Fat,Rice,Rice,1961,98.8
Protein,Rice,Rice,1961,763
Weight,Rice,Rice,1961,10901.09589
Calories,"Roots, other","Roots, other",1961,4908
Fat,"Roots, other","Roots, other",1961,11.1
Protein,"Roots, other","Roots, other",1961,86.3
Weight,"Roots, other","Roots, other",1961,5590.684932
Calories,Rye,Rye,1961,3094
Fat,Rye,Rye,1961,10.9
Protein,Rye,Rye,1961,79.5
Weight,Rye,Rye,1961,1138.356164
