"","Measurement","Item","Value2009minus1961","se","Type"
"1","Calories","Apples",5,0,"Global Aggregate"
"2","Calories","Bananas & plantains",15,0,"Global Aggregate"
"3","Calories","Barley",-7,0,"Global Aggregate"
"4","Calories","Beans",-7,0,"Global Aggregate"
"5","Calories","Beverages, alcoholic",6,0,"Global Aggregate"
"6","Calories","Beverages, fermented",1,0,"Global Aggregate"
"7","Calories","Cassava",5,0,"Global Aggregate"
"8","Calories","Cereals, other",-2,0,"Global Aggregate"
"9","Calories","Citrus, other",1,0,"Global Aggregate"
"10","Calories","Cloves",0,0,"Global Aggregate"
"11","Calories","Cocoa beans",3,0,"Global Aggregate"
"12","Calories","Coconuts",0,0,"Global Aggregate"
"13","Calories","Coffee",0,0,"Global Aggregate"
"14","Calories","Cottonseed oil",0,0,"Global Aggregate"
"15","Calories","Dates",2,0,"Global Aggregate"
"16","Calories","Fruits, other",11,0,"Global Aggregate"
"17","Calories","Grapefruit",1,0,"Global Aggregate"
"18","Calories","Grapes",-6,0,"Global Aggregate"
"19","Calories","Groundnut",8,0,"Global Aggregate"
"20","Calories","Lemons & limes",1,0,"Global Aggregate"
"21","Calories","Maize",54,0,"Global Aggregate"
"22","Calories","Millets",-27,0,"Global Aggregate"
"23","Calories","Oats",-2,0,"Global Aggregate"
"24","Calories","Oilcrops, other",3,0,"Global Aggregate"
"25","Calories","Olives",3,0,"Global Aggregate"
"26","Calories","Onions",6,0,"Global Aggregate"
"27","Calories","Oranges & mandarines",5,0,"Global Aggregate"
"28","Calories","Palm oil",48,0,"Global Aggregate"
"29","Calories","Peas",-7,0,"Global Aggregate"
"30","Calories","Pepper",0,0,"Global Aggregate"
"31","Calories","Pimento",2,0,"Global Aggregate"
"32","Calories","Pineapples",2,0,"Global Aggregate"
"33","Calories","Potatoes",-4,0,"Global Aggregate"
"34","Calories","Pulses, other",-14,0,"Global Aggregate"
"35","Calories","Rape & mustard",27,0,"Global Aggregate"
"36","Calories","Rice",148,0,"Global Aggregate"
"37","Calories","Roots, other",2,0,"Global Aggregate"
"38","Calories","Rye",-28,0,"Global Aggregate"
