,Measurement,Year,Country,Proportion,fCountry
1,Calories,1961,Albania,0.409312398,Albania
2,Fat,1961,Albania,0.271523179,Albania
3,Protein,1961,Albania,0.517894737,Albania
4,Weight,1961,Albania,0.277639235,Albania
5,Calories,1962,Albania,0.410311493,Albania
6,Fat,1962,Albania,0.363636364,Albania
7,Protein,1962,Albania,0.520920502,Albania
8,Weight,1962,Albania,0.285593459,Albania
9,Calories,1963,Albania,0.39345172,Albania
10,Fat,1963,Albania,0.355828221,Albania
11,Protein,1963,Albania,0.496774194,Albania
12,Weight,1963,Albania,0.2741324,Albania
13,Calories,1964,Albania,0.380655226,Albania
14,Fat,1964,Albania,0.538812785,Albania
15,Protein,1964,Albania,0.49790795,Albania
16,Weight,1964,Albania,0.265462507,Albania
17,Calories,1965,Albania,0.412387507,Albania
18,Fat,1965,Albania,0.365853659,Albania
19,Protein,1965,Albania,0.520491803,Albania
20,Weight,1965,Albania,0.290005615,Albania
21,Calories,1966,Albania,0.397866667,Albania
22,Fat,1966,Albania,0.346590909,Albania
23,Protein,1966,Albania,0.519230769,Albania
24,Weight,1966,Albania,0.286210892,Albania
25,Calories,1967,Albania,0.392762108,Albania
26,Fat,1967,Albania,0.331491713,Albania
27,Protein,1967,Albania,0.511677282,Albania
28,Weight,1967,Albania,0.28802589,Albania
29,Calories,1968,Albania,0.410805301,Albania
30,Fat,1968,Albania,0.362637363,Albania
31,Protein,1968,Albania,0.533604888,Albania
32,Weight,1968,Albania,0.300421941,Albania
33,Calories,1969,Albania,0.415392205,Albania
34,Fat,1969,Albania,0.394871795,Albania
35,Protein,1969,Albania,0.541501976,Albania
36,Weight,1969,Albania,0.300970874,Albania
37,Calories,1970,Albania,0.397233202,Albania
38,Fat,1970,Albania,0.392523364,Albania
39,Protein,1970,Albania,0.515748031,Albania
40,Weight,1970,Albania,0.27403599,Albania
41,Calories,1971,Albania,0.408726179,Albania
42,Fat,1971,Albania,0.377358491,Albania
43,Protein,1971,Albania,0.531062124,Albania
44,Weight,1971,Albania,0.289234065,Albania
45,Calories,1972,Albania,0.441090555,Albania
46,Fat,1972,Albania,0.305418719,Albania
47,Protein,1972,Albania,0.5651341,Albania
48,Weight,1972,Albania,0.316552451,Albania
49,Calories,1973,Albania,0.443590975,Albania
50,Fat,1973,Albania,0.349344978,Albania
51,Protein,1973,Albania,0.579961464,Albania
52,Weight,1973,Albania,0.322105263,Albania
53,Calories,1974,Albania,0.451026119,Albania
54,Fat,1974,Albania,0.40625,Albania
55,Protein,1974,Albania,0.588785047,Albania
56,Weight,1974,Albania,0.328213006,Albania
57,Calories,1975,Albania,0.453364269,Albania
58,Fat,1975,Albania,0.453571429,Albania
59,Protein,1975,Albania,0.60341556,Albania
60,Weight,1975,Albania,0.336451026,Albania
61,Calories,1976,Albania,0.479948805,Albania
62,Fat,1976,Albania,0.501587302,Albania
63,Protein,1976,Albania,0.62414966,Albania
64,Weight,1976,Albania,0.353820598,Albania
65,Calories,1977,Albania,0.503676471,Albania
66,Fat,1977,Albania,0.492537313,Albania
67,Protein,1977,Albania,0.645264848,Albania
68,Weight,1977,Albania,0.376988702,Albania
69,Calories,1978,Albania,0.484887186,Albania
70,Fat,1978,Albania,0.548387097,Albania
71,Protein,1978,Albania,0.625632378,Albania
72,Weight,1978,Albania,0.354044549,Albania
73,Calories,1979,Albania,0.466254963,Albania
74,Fat,1979,Albania,0.598265896,Albania
75,Protein,1979,Albania,0.61981982,Albania
76,Weight,1979,Albania,0.344387128,Albania
77,Calories,1980,Albania,0.475749559,Albania
78,Fat,1980,Albania,0.576687117,Albania
79,Protein,1980,Albania,0.63016158,Albania
80,Weight,1980,Albania,0.359838953,Albania
81,Calories,1981,Albania,0.516544908,Albania
82,Fat,1981,Albania,0.580745342,Albania
83,Protein,1981,Albania,0.666666667,Albania
84,Weight,1981,Albania,0.38455971,Albania
85,Calories,1982,Albania,0.488626422,Albania
86,Fat,1982,Albania,0.61237785,Albania
87,Protein,1982,Albania,0.636363636,Albania
88,Weight,1982,Albania,0.355582233,Albania
89,Calories,1983,Albania,0.51628866,Albania
90,Fat,1983,Albania,0.62464986,Albania
91,Protein,1983,Albania,0.669950739,Albania
92,Weight,1983,Albania,0.3783907,Albania
93,Calories,1984,Albania,0.533022862,Albania
94,Fat,1984,Albania,0.623906706,Albania
95,Protein,1984,Albania,0.685618729,Albania
96,Weight,1984,Albania,0.401684717,Albania
97,Calories,1985,Albania,0.510379061,Albania
98,Fat,1985,Albania,0.598684211,Albania
99,Protein,1985,Albania,0.663063063,Albania
100,Weight,1985,Albania,0.385347044,Albania
101,Calories,1986,Albania,0.539215686,Albania
102,Fat,1986,Albania,0.617940199,Albania
103,Protein,1986,Albania,0.680991736,Albania
104,Weight,1986,Albania,0.407632474,Albania
105,Calories,1987,Albania,0.525431638,Albania
106,Fat,1987,Albania,0.649484536,Albania
107,Protein,1987,Albania,0.677121771,Albania
108,Weight,1987,Albania,0.395391949,Albania
109,Calories,1988,Albania,0.552797834,Albania
110,Fat,1988,Albania,0.641638225,Albania
111,Protein,1988,Albania,0.7125,Albania
112,Weight,1988,Albania,0.445908841,Albania
113,Calories,1989,Albania,0.554591138,Albania
114,Fat,1989,Albania,0.676282051,Albania
115,Protein,1989,Albania,0.707885305,Albania
116,Weight,1989,Albania,0.420543649,Albania
117,Calories,1990,Albania,0.579716766,Albania
118,Fat,1990,Albania,0.688741722,Albania
119,Protein,1990,Albania,0.745487365,Albania
120,Weight,1990,Albania,0.431060994,Albania
121,Calories,1991,Albania,0.609756098,Albania
122,Fat,1991,Albania,0.661676647,Albania
123,Protein,1991,Albania,0.787815126,Albania
124,Weight,1991,Albania,0.438092502,Albania
125,Calories,1992,Albania,0.673528004,Albania
126,Fat,1992,Albania,0.541420118,Albania
127,Protein,1992,Albania,0.831215971,Albania
128,Weight,1992,Albania,0.44991552,Albania
129,Calories,1993,Albania,0.662790698,Albania
130,Fat,1993,Albania,0.556886228,Albania
131,Protein,1993,Albania,0.818027211,Albania
132,Weight,1993,Albania,0.41201176,Albania
133,Calories,1994,Albania,0.660124888,Albania
134,Fat,1994,Albania,0.558730159,Albania
135,Protein,1994,Albania,0.82444062,Albania
136,Weight,1994,Albania,0.386740331,Albania
137,Calories,1995,Albania,0.617806198,Albania
138,Fat,1995,Albania,0.554794521,Albania
139,Protein,1995,Albania,0.794520548,Albania
140,Weight,1995,Albania,0.365574852,Albania
141,Calories,1996,Albania,0.599162011,Albania
142,Fat,1996,Albania,0.550898204,Albania
143,Protein,1996,Albania,0.77673546,Albania
144,Weight,1996,Albania,0.340963855,Albania
145,Calories,1997,Albania,0.615945552,Albania
146,Fat,1997,Albania,0.527439024,Albania
147,Protein,1997,Albania,0.801571709,Albania
148,Weight,1997,Albania,0.360068995,Albania
149,Calories,1998,Albania,0.59631728,Albania
150,Fat,1998,Albania,0.47752809,Albania
151,Protein,1998,Albania,0.767754319,Albania
152,Weight,1998,Albania,0.332059533,Albania
153,Calories,1999,Albania,0.606519743,Albania
154,Fat,1999,Albania,0.512820513,Albania
155,Protein,1999,Albania,0.767657993,Albania
156,Weight,1999,Albania,0.334571038,Albania
157,Calories,2000,Albania,0.582584004,Albania
158,Fat,2000,Albania,0.385802469,Albania
159,Protein,2000,Albania,0.748560461,Albania
160,Weight,2000,Albania,0.311688312,Albania
161,Calories,2001,Albania,0.575322812,Albania
162,Fat,2001,Albania,0.418181818,Albania
163,Protein,2001,Albania,0.748526523,Albania
164,Weight,2001,Albania,0.294480823,Albania
165,Calories,2002,Albania,0.569902913,Albania
166,Fat,2002,Albania,0.428104575,Albania
167,Protein,2002,Albania,0.738188976,Albania
168,Weight,2002,Albania,0.286851852,Albania
169,Calories,2003,Albania,0.55983976,Albania
170,Fat,2003,Albania,0.445945946,Albania
171,Protein,2003,Albania,0.727087576,Albania
172,Weight,2003,Albania,0.271289314,Albania
173,Calories,2004,Albania,0.542217701,Albania
174,Fat,2004,Albania,0.455696203,Albania
175,Protein,2004,Albania,0.715789474,Albania
176,Weight,2004,Albania,0.261047159,Albania
177,Calories,2005,Albania,0.545099951,Albania
178,Fat,2005,Albania,0.438271605,Albania
179,Protein,2005,Albania,0.718309859,Albania
180,Weight,2005,Albania,0.265574361,Albania
181,Calories,2006,Albania,0.509784245,Albania
182,Fat,2006,Albania,0.424698795,Albania
183,Protein,2006,Albania,0.682875264,Albania
184,Weight,2006,Albania,0.237613213,Albania
185,Calories,2007,Albania,0.508229426,Albania
186,Fat,2007,Albania,0.402366864,Albania
187,Protein,2007,Albania,0.68869936,Albania
188,Weight,2007,Albania,0.234317666,Albania
189,Calories,2008,Albania,0.505273732,Albania
190,Fat,2008,Albania,0.405970149,Albania
191,Protein,2008,Albania,0.682302772,Albania
192,Weight,2008,Albania,0.227425311,Albania
193,Calories,2009,Albania,0.491883915,Albania
194,Fat,2009,Albania,0.378453039,Albania
195,Protein,2009,Albania,0.675159236,Albania
196,Weight,2009,Albania,0.215314136,Albania
197,Calories,1961,Algeria,0.562043796,Algeria
198,Fat,1961,Algeria,0.408045977,Algeria
199,Protein,1961,Algeria,0.717086835,Algeria
200,Weight,1961,Algeria,0.408669878,Algeria
201,Calories,1962,Algeria,0.59838818,Algeria
202,Fat,1962,Algeria,0.329032258,Algeria
203,Protein,1962,Algeria,0.741046832,Algeria
204,Weight,1962,Algeria,0.447703589,Algeria
205,Calories,1963,Algeria,0.559241706,Algeria
206,Fat,1963,Algeria,0.402173913,Algeria
207,Protein,1963,Algeria,0.712250712,Algeria
208,Weight,1963,Algeria,0.436157276,Algeria
209,Calories,1964,Algeria,0.546675621,Algeria
210,Fat,1964,Algeria,0.311881188,Algeria
211,Protein,1964,Algeria,0.708933718,Algeria
212,Weight,1964,Algeria,0.41864139,Algeria
213,Calories,1965,Algeria,0.571428571,Algeria
214,Fat,1965,Algeria,0.310679612,Algeria
215,Protein,1965,Algeria,0.722826087,Algeria
216,Weight,1965,Algeria,0.448046875,Algeria
217,Calories,1966,Algeria,0.59644503,Algeria
218,Fat,1966,Algeria,0.38,Algeria
219,Protein,1966,Algeria,0.763231198,Algeria
220,Weight,1966,Algeria,0.476767677,Algeria
221,Calories,1967,Algeria,0.597622028,Algeria
222,Fat,1967,Algeria,0.271889401,Algeria
223,Protein,1967,Algeria,0.768,Algeria
224,Weight,1967,Algeria,0.486116543,Algeria
225,Calories,1968,Algeria,0.578437311,Algeria
226,Fat,1968,Algeria,0.32718894,Algeria
227,Protein,1968,Algeria,0.744186047,Algeria
228,Weight,1968,Algeria,0.457826888,Algeria
229,Calories,1969,Algeria,0.576829268,Algeria
