Year,GlobalMean,Measurement,FoodGroup,Unit
1961,79.34868421,Calories,Alcoholic beverages,kcal/capita/day
1961,382.9078947,Calories,Animal products,kcal/capita/day
1961,85.56578947,Calories,Fruits,kcal/capita/day
1961,976.2302632,Calories,Grains,kcal/capita/day
1961,0.802631579,Calories,Miscellaneous,kcal/capita/day
1961,186.3486842,Calories,Oils,kcal/capita/day
1961,63.36184211,Calories,Pulses,kcal/capita/day
1961,8.092105263,Calories,Spices & stimulants,kcal/capita/day
1961,213.5065789,Calories,Starchy roots,kcal/capita/day
1961,219.8486842,Calories,Sweeteners,kcal/capita/day
1961,31.75657895,Calories,Vegetables,kcal/capita/day
1961,0.098684211,Fat,Alcoholic beverages,g/capita/day
1961,28.01184211,Fat,Animal products,g/capita/day
1961,0.501315789,Fat,Fruits,g/capita/day
1961,5.230921053,Fat,Grains,g/capita/day
1961,0.003947368,Fat,Miscellaneous,g/capita/day
1961,19.21381579,Fat,Oils,g/capita/day
1961,0.340131579,Fat,Pulses,g/capita/day
1961,0.340131579,Fat,Spices & stimulants,g/capita/day
1961,0.365789474,Fat,Starchy roots,g/capita/day
1961,0.011842105,Fat,Sweeteners,g/capita/day
1961,0.253947368,Fat,Vegetables,g/capita/day
1961,101.9628695,Food Weight,Alcoholic beverages,g/capita/day
1961,344.8846431,Food Weight,Animal products,g/capita/day
1961,160.6218457,Food Weight,Fruits,g/capita/day
1961,323.3868061,Food Weight,Grains,g/capita/day
1961,0,Food Weight,Miscellaneous,g/capita/day
1961,47.26207642,Food Weight,Oils,g/capita/day
1961,18.7148522,Food Weight,Pulses,g/capita/day
1961,7.063806777,Food Weight,Spices & stimulants,g/capita/day
1961,241.9664744,Food Weight,Starchy roots,g/capita/day
1961,65.69935112,Food Weight,Sweeteners,g/capita/day
1961,129.6971882,Food Weight,Vegetables,g/capita/day
1961,0.836184211,Protein,Alcoholic beverages,g/capita/day
1961,22.64144737,Protein,Animal products,g/capita/day
1961,0.971052632,Protein,Fruits,g/capita/day
1961,25.56315789,Protein,Grains,g/capita/day
1961,0.028289474,Protein,Miscellaneous,g/capita/day
1961,1.6375,Protein,Oils,g/capita/day
1961,4.071710526,Protein,Pulses,g/capita/day
1961,0.538815789,Protein,Spices & stimulants,g/capita/day
1961,3.014473684,Protein,Starchy roots,g/capita/day
1961,0.025,Protein,Sweeteners,g/capita/day
1961,1.619078947,Protein,Vegetables,g/capita/day
1962,81.23026316,Calories,Alcoholic beverages,kcal/capita/day
1962,384.3289474,Calories,Animal products,kcal/capita/day
1962,86.17105263,Calories,Fruits,kcal/capita/day
1962,983.0526316,Calories,Grains,kcal/capita/day
1962,0.822368421,Calories,Miscellaneous,kcal/capita/day
