ItemName,CountryName,ElementName,UnitName,20092011Average
Apples,Afghanistan,Fat,g/capita/day,0
Apples,Afghanistan,Calories,kcal/capita/day,3
Apples,Afghanistan,Food Weight,g/capita/day,5.666666667
Apples,Afghanistan,Protein,g/capita/day,0
Apples,Albania,Fat,g/capita/day,0.2
Apples,Albania,Calories,kcal/capita/day,27.66666667
Apples,Albania,Food Weight,g/capita/day,56.33333333
Apples,Albania,Protein,g/capita/day,0.2
Apples,Algeria,Fat,g/capita/day,0.1
Apples,Algeria,Calories,kcal/capita/day,15.66666667
Apples,Algeria,Food Weight,g/capita/day,33
Apples,Algeria,Protein,g/capita/day,0.1
Apples,Angola,Fat,g/capita/day,0
Apples,Angola,Calories,kcal/capita/day,0.666666667
Apples,Angola,Food Weight,g/capita/day,1.333333333
Apples,Angola,Protein,g/capita/day,0
Apples,Antigua and Barbuda,Fat,g/capita/day,0
Apples,Antigua and Barbuda,Calories,kcal/capita/day,3.666666667
Apples,Antigua and Barbuda,Food Weight,g/capita/day,13
Apples,Antigua and Barbuda,Protein,g/capita/day,0
Apples,Argentina,Fat,g/capita/day,0.1
Apples,Argentina,Calories,kcal/capita/day,17.66666667
Apples,Argentina,Food Weight,g/capita/day,36.66666667
Apples,Argentina,Protein,g/capita/day,0.1
Apples,Armenia,Fat,g/capita/day,0.2
Apples,Armenia,Calories,kcal/capita/day,29
Apples,Armenia,Food Weight,g/capita/day,61.66666667
Apples,Armenia,Protein,g/capita/day,0.1
Apples,Australia,Fat,g/capita/day,0.1
Apples,Australia,Calories,kcal/capita/day,20.33333333
Apples,Australia,Food Weight,g/capita/day,75.33333333
Apples,Australia,Protein,g/capita/day,0.1
Apples,Austria,Fat,g/capita/day,0.466666667
Apples,Austria,Calories,kcal/capita/day,63.66666667
Apples,Austria,Food Weight,g/capita/day,132.6666667
Apples,Austria,Protein,g/capita/day,0.366666667
Apples,Azerbaijan,Fat,g/capita/day,0.1
Apples,Azerbaijan,Calories,kcal/capita/day,15
Apples,Azerbaijan,Food Weight,g/capita/day,32
Apples,Azerbaijan,Protein,g/capita/day,0
Apples,Bahamas,Fat,g/capita/day,0.033333333
Apples,Bahamas,Calories,kcal/capita/day,13
Apples,Bahamas,Food Weight,g/capita/day,66
Apples,Bahamas,Protein,g/capita/day,0.033333333
Apples,Bangladesh,Fat,g/capita/day,0
Apples,Bangladesh,Calories,kcal/capita/day,1
Apples,Bangladesh,Food Weight,g/capita/day,3
Apples,Bangladesh,Protein,g/capita/day,0
Apples,Barbados,Fat,g/capita/day,0.1
Apples,Barbados,Calories,kcal/capita/day,15.33333333
Apples,Barbados,Food Weight,g/capita/day,57
Apples,Barbados,Protein,g/capita/day,0.1
Apples,Belarus,Fat,g/capita/day,0.2
Apples,Belarus,Calories,kcal/capita/day,28.66666667
Apples,Belarus,Food Weight,g/capita/day,61.33333333
Apples,Belarus,Protein,g/capita/day,0.1
Apples,Belgium,Fat,g/capita/day,0.1
Apples,Belgium,Calories,kcal/capita/day,21
Apples,Belgium,Food Weight,g/capita/day,66
Apples,Belgium,Protein,g/capita/day,0.066666667
Apples,Belize,Fat,g/capita/day,0
Apples,Belize,Calories,kcal/capita/day,2.333333333
Apples,Belize,Food Weight,g/capita/day,7.666666667
Apples,Belize,Protein,g/capita/day,0
Apples,Benin,Fat,g/capita/day,0
Apples,Benin,Calories,kcal/capita/day,3
Apples,Benin,Food Weight,g/capita/day,5.666666667
Apples,Benin,Protein,g/capita/day,0
Apples,Bermuda,Fat,g/capita/day,0
Apples,Bermuda,Calories,kcal/capita/day,4
Apples,Bermuda,Food Weight,g/capita/day,8.333333333
Apples,Bermuda,Protein,g/capita/day,0
Apples,Bolivia (Plurinational State of),Fat,g/capita/day,0
Apples,Bolivia (Plurinational State of),Calories,kcal/capita/day,3
Apples,Bolivia (Plurinational State of),Food Weight,g/capita/day,6
Apples,Bolivia (Plurinational State of),Protein,g/capita/day,0
Apples,Bosnia and Herzegovina,Fat,g/capita/day,0.133333333
Apples,Bosnia and Herzegovina,Calories,kcal/capita/day,24.33333333
Apples,Bosnia and Herzegovina,Food Weight,g/capita/day,53.66666667
Apples,Bosnia and Herzegovina,Protein,g/capita/day,0.1
Apples,Botswana,Fat,g/capita/day,0
Apples,Botswana,Calories,kcal/capita/day,5.333333333
Apples,Botswana,Food Weight,g/capita/day,12.33333333
Apples,Botswana,Protein,g/capita/day,0
Apples,Brazil,Fat,g/capita/day,0
Apples,Brazil,Calories,kcal/capita/day,7.333333333
Apples,Brazil,Food Weight,g/capita/day,14
Apples,Brazil,Protein,g/capita/day,0
Apples,Brunei Darussalam,Fat,g/capita/day,0
Apples,Brunei Darussalam,Calories,kcal/capita/day,10
Apples,Brunei Darussalam,Food Weight,g/capita/day,45.66666667
Apples,Brunei Darussalam,Protein,g/capita/day,0.066666667
Apples,Bulgaria,Fat,g/capita/day,0.066666667
Apples,Bulgaria,Calories,kcal/capita/day,8
Apples,Bulgaria,Food Weight,g/capita/day,15.33333333
Apples,Bulgaria,Protein,g/capita/day,0.033333333
Apples,Burkina Faso,Fat,g/capita/day,0
Apples,Burkina Faso,Calories,kcal/capita/day,0
Apples,Burkina Faso,Food Weight,g/capita/day,0
