CountryName,Measurement,Year,Dominance
Albania,Calories,1961,0.409312398
Algeria,Calories,1961,0.562043796
Angola,Calories,1961,0.362545018
Antigua and Barbuda,Calories,1961,0.404508453
Argentina,Calories,1961,0.442469598
Australia,Calories,1961,0.421968461
Austria,Calories,1961,0.26155268
Bahamas,Calories,1961,0.266899767
Bangladesh,Calories,1961,0.819545235
Barbados,Calories,1961,0.256410256
Belgium-Luxembourg,Calories,1961,0.391658189
Belize,Calories,1961,0.346602608
Benin,Calories,1961,0.274836407
Bermuda,Calories,1961,0.287616511
Bolivia (Plurinational State of),Calories,1961,0.270891365
Botswana,Calories,1961,0.32566586
Brazil,Calories,1961,0.212467532
Brunei Darussalam,Calories,1961,0.46167147
Bulgaria,Calories,1961,0.601966497
Burkina Faso,Calories,1961,0.373381295
Burundi,Calories,1961,0.30377907
Cambodia,Calories,1961,0.803370787
Cameroon,Calories,1961,0.243812533
Canada,Calories,1961,0.329479769
Cape Verde,Calories,1961,0.545396825
Central African Republic,Calories,1961,0.541203704
Chad,Calories,1961,0.378823529
Chile,Calories,1961,0.505769231
China,Calories,1961,0.315519766
Colombia,Calories,1961,0.251870324
Comoros,Calories,1961,0.313695871
Congo,Calories,1961,0.657056146
Costa Rica,Calories,1961,0.261445783
C“te d'Ivoire,Calories,1961,0.263032042
Cuba,Calories,1961,0.274782609
Cyprus,Calories,1961,0.412361624
Czechoslovakia,Calories,1961,0.347350715
Democratic People's Republic of Korea,Calories,1961,0.469522241
Denmark,Calories,1961,0.241682975
Djibouti,Calories,1961,0.261160714
Dominica,Calories,1961,0.310178817
Dominican Republic,Calories,1961,0.216378162
Ecuador,Calories,1961,0.162893082
Egypt,Calories,1961,0.342430484
El Salvador,Calories,1961,0.428778019
Ethiopia PDR,Calories,1961,0.234093637
Fiji,Calories,1961,0.223190933
Finland,Calories,1961,0.327254306
France,Calories,1961,0.421875
French Polynesia,Calories,1961,0.378262933
Gabon,Calories,1961,0.349349915
Gambia,Calories,1961,0.28630491
Germany,Calories,1961,0.215352911
Ghana,Calories,1961,0.196371398
Greece,Calories,1961,0.509410802
Grenada,Calories,1961,0.314323607
Guatemala,Calories,1961,0.635250918
Guinea,Calories,1961,0.186431901
Guinea-Bissau,Calories,1961,0.346466542
Guyana,Calories,1961,0.293180687
Haiti,Calories,1961,0.241071429
Honduras,Calories,1961,0.506873879
Hungary,Calories,1961,0.542038516
Iceland,Calories,1961,0.3117338
India,Calories,1961,0.348898216
Indonesia,Calories,1961,0.48856305
Iran (Islamic Republic of),Calories,1961,0.583387835
Ireland,Calories,1961,0.45666356
Israel,Calories,1961,0.468376068
Italy,Calories,1961,0.474338412
Jamaica,Calories,1961,0.328834356
Japan,Calories,1961,0.518926056
Jordan,Calories,1961,0.509063444
Kenya,Calories,1961,0.479269497
Kiribati,Calories,1961,0.430018416
Kuwait,Calories,1961,0.39869281
Lao People's Democratic Republic,Calories,1961,0.870080863
Lebanon,Calories,1961,0.53713997
Lesotho,Calories,1961,0.433083512
Liberia,Calories,1961,0.393655746
Libya,Calories,1961,0.419551935
Madagascar,Calories,1961,0.582249071
Malawi,Calories,1961,0.654943935
Malaysia,Calories,1961,0.547178538
Maldives,Calories,1961,0.232494901
Mali,Calories,1961,0.387142857
Malta,Calories,1961,0.55214447
Mauritania,Calories,1961,0.374045802
Mauritius,Calories,1961,0.416666667
Mexico,Calories,1961,0.528311177
Mongolia,Calories,1961,0.889119171
Morocco,Calories,1961,0.50199005
Mozambique,Calories,1961,0.478551532
Myanmar,Calories,1961,0.768746062
Namibia,Calories,1961,0.254637437
Nepal,Calories,1961,0.453646477
Netherlands,Calories,1961,0.339685565
New Caledonia,Calories,1961,0.260292772
New Zealand,Calories,1961,0.401183432
Nicaragua,Calories,1961,0.367359413
Niger,Calories,1961,0.595289079
Nigeria,Calories,1961,0.251072961
Norway,Calories,1961,0.346174142
Pakistan,Calories,1961,0.479259732
Panama,Calories,1961,0.311494253
Paraguay,Calories,1961,0.231231231
Peru,Calories,1961,0.217461168
Philippines,Calories,1961,0.532751092
Poland,Calories,1961,0.283873649
Portugal,Calories,1961,0.229863401
Republic of Korea,Calories,1961,0.514628297
Romania,Calories,1961,0.504979253
Rwanda,Calories,1961,0.238122172
Saint Kitts and Nevis,Calories,1961,0.30820547
Saint Lucia,Calories,1961,0.327044025
Saint Vincent and the Grenadines,Calories,1961,0.300940439
Samoa,Calories,1961,0.313737624
Sao Tome and Principe,Calories,1961,0.256669733
Saudi Arabia,Calories,1961,0.195856874
Senegal,Calories,1961,0.249547101
Seychelles,Calories,1961,0.512123004
Sierra Leone,Calories,1961,0.363372093
Solomon Islands,Calories,1961,0.416
South Africa,Calories,1961,0.482498892
Spain,Calories,1961,0.424747696
Sri Lanka,Calories,1961,0.468509985
Sudan (former),Calories,1961,0.407692308
Suriname,Calories,1961,0.327063107
Swaziland,Calories,1961,0.346970482
