ItemName	ElementName	UnitName	AvgValue61to63	AvgValue07to09
Alcoholic beverages	Calories	kcal/capita/day	16.0877193	22.17229675
Alcoholic beverages	Fat	g/capita/day	0	0
Alcoholic beverages	Food Weight	g/capita/day	5.472242249	7.619597402
Alcoholic beverages	Protein	g/capita/day	0	0.001315789
Animal Products (Total)	Calories	kcal/capita/day	384.8662281	509.2504331
Animal Products (Total)	Fat	g/capita/day	28.10614035	35.7189101
Animal Products (Total)	Food Weight	g/capita/day	347.3636145	491.5429173
Animal Products (Total)	Protein	g/capita/day	22.86907895	34.32439943
Apples	Calories	kcal/capita/day	5.611842105	9.263252489
Apples	Fat	g/capita/day	0.037061404	0.045666087
Apples	Food Weight	g/capita/day	12.16894977	24.1288332
Apples	Protein	g/capita/day	0.030701754	0.039707163
Bananas & plantains	Calories	kcal/capita/day	42.15789474	43.65474873
Bananas & plantains	Fat	g/capita/day	0.089912281	0.098084558
Bananas & plantains	Food Weight	g/capita/day	58.79776496	61.6534374
Bananas & plantains	Protein	g/capita/day	0.466885965	0.503157294
Barley & beer	Calories	kcal/capita/day	34.45394737	42.82493944
Barley & beer	Fat	g/capita/day	0.06995614	0.028652234
Barley & beer	Food Weight	g/capita/day	45.32143715	80.87054553
Barley & beer	Protein	g/capita/day	0.659868421	0.576869689
Beans	Calories	kcal/capita/day	26.35087719	27.64866454
Beans	Fat	g/capita/day	0.11622807	0.123301618
Beans	Food Weight	g/capita/day	7.805215092	8.189604191
Beans	Protein	g/capita/day	1.690350877	1.784383801
Cassava	Calories	kcal/capita/day	83.74122807	65.20394737
Cassava	Fat	g/capita/day	0.116447368	0.086184211
Cassava	Food Weight	g/capita/day	83.14828166	64.33374938
Cassava	Protein	g/capita/day	0.616666667	0.486842105
Cereals (other)	Calories	kcal/capita/day	20.88815789	10.02193174
Cereals (other)	Fat	g/capita/day	0.087280702	0.032479722
Cereals (other)	Food Weight	g/capita/day	7.208603701	3.624034997
Cereals (other)	Protein	g/capita/day	0.556140351	0.272360316
Citrus (other)	Calories	kcal/capita/day	0.572368421	0.809865342
Citrus (other)	Fat	g/capita/day	0.003947368	0.003947368
Citrus (other)	Food Weight	g/capita/day	2.226027397	3.436527582
Citrus (other)	Protein	g/capita/day	0.009210526	0.011184211
Cloves	Calories	kcal/capita/day	0.006578947	0.048245614
Cloves	Fat	g/capita/day	0.000657895	0.002631579
Cloves	Food Weight	g/capita/day	0.002403268	0.016222062
Cloves	Protein	g/capita/day	0	0.000219298
Cocoa beans	Calories	kcal/capita/day	2.35745614	10.73003817
Cocoa beans	Fat	g/capita/day	0.201754386	0.949115882
Cocoa beans	Food Weight	g/capita/day	1.01297765	2.680614938
Cocoa beans	Protein	g/capita/day	0.072587719	0.199690153
Coconuts	Calories	kcal/capita/day	55.16008772	43.44671249
Coconuts	Fat	g/capita/day	5.550657895	4.271222788
Coconuts	Food Weight	g/capita/day	27.75414564	23.94972883
Coconuts	Protein	g/capita/day	0.311622807	0.275400225
Coffee	Calories	kcal/capita/day	1.600877193	3.006149748
Coffee	Fat	g/capita/day	0	0
Coffee	Food Weight	g/capita/day	3.555635664	6.612055841
Coffee	Protein	g/capita/day	0.212938596	0.326601445
Cottonseed oil	Calories	kcal/capita/day	10.07236842	6.079903206
Cottonseed oil	Fat	g/capita/day	1.140789474	0.685302545
Cottonseed oil	Food Weight	g/capita/day	1.149363134	0.690345403
Cottonseed oil	Protein	g/capita/day	0	0
Dates	Calories	kcal/capita/day	4.872807018	4.691141996
Dates	Fat	g/capita/day	0.011184211	0.010307018
Dates	Food Weight	g/capita/day	2.994472483	2.867798569
Dates	Protein	g/capita/day	0.044517544	0.041447368
Fermented beverages	Calories	kcal/capita/day	9.535087719	6.514401898
Fermented beverages	Fat	g/capita/day	0.001973684	0.001973684
Fermented beverages	Food Weight	g/capita/day	22.31074261	15.10162784
Fermented beverages	Protein	g/capita/day	0.10372807	0.074574058
Fruits (other)	Calories	kcal/capita/day	24.21929825	28.32639809
Fruits (other)	Fat	g/capita/day	0.336184211	0.416854792
Fruits (other)	Food Weight	g/capita/day	53.96899784	65.67547623
Fruits (other)	Protein	g/capita/day	0.293859649	0.342602743
Grapefruit	Calories	kcal/capita/day	0.660087719	2.015812032
Grapefruit	Fat	g/capita/day	0.001315789	0.006140351
Grapefruit	Food Weight	g/capita/day	3.367579909	9.842546285
Grapefruit	Protein	g/capita/day	0.007675439	0.024122807
Grapes & wine	Calories	kcal/capita/day	20.06578947	18.27604092
Grapes & wine	Fat	g/capita/day	0.023026316	0.022945931
Grapes & wine	Food Weight	g/capita/day	29.7332372	27.39799951
Grapes & wine	Protein	g/capita/day	0.068640351	0.062125644
Groundnut	Calories	kcal/capita/day	36.66008772	34.31161715
Groundnut	Fat	g/capita/day	3.602631579	3.233842254
Groundnut	Food Weight	g/capita/day	5.382119683	5.309919132
Groundnut	Protein	g/capita/day	0.76622807	0.936434387
