ItemName,ElementName,UnitName,Year,AvgValue
Alcoholic beverages,Calories,kcal/capita/day,61to63,16.0877193
Animal Products (Total),Calories,kcal/capita/day,61to63,384.8662281
Apples,Calories,kcal/capita/day,61to63,5.611842105
Bananas & plantains,Calories,kcal/capita/day,61to63,42.15789474
Barley & beer,Calories,kcal/capita/day,61to63,34.45394737
Beans,Calories,kcal/capita/day,61to63,26.35087719
Cassava,Calories,kcal/capita/day,61to63,83.74122807
Cereals (other),Calories,kcal/capita/day,61to63,20.88815789
Citrus (other),Calories,kcal/capita/day,61to63,0.572368421
Cloves,Calories,kcal/capita/day,61to63,0.006578947
Cocoa beans,Calories,kcal/capita/day,61to63,2.35745614
Coconuts,Calories,kcal/capita/day,61to63,55.16008772
Coffee,Calories,kcal/capita/day,61to63,1.600877193
Cottonseed oil,Calories,kcal/capita/day,61to63,10.07236842
Dates,Calories,kcal/capita/day,61to63,4.872807018
Fermented beverages,Calories,kcal/capita/day,61to63,9.535087719
Fruits (other),Calories,kcal/capita/day,61to63,24.21929825
Grapefruit,Calories,kcal/capita/day,61to63,0.660087719
Grapes & wine,Calories,kcal/capita/day,61to63,20.06578947
Groundnut,Calories,kcal/capita/day,61to63,36.66008772
Lemons & limes,Calories,kcal/capita/day,61to63,0.717105263
Maize,Calories,kcal/capita/day,61to63,168.2039474
Millets,Calories,kcal/capita/day,61to63,43.61184211
Miscellaneous,Calories,kcal/capita/day,61to63,0.828947368
Oats,Calories,kcal/capita/day,61to63,3.75877193
Oilcrops (other),Calories,kcal/capita/day,61to63,13.85087719
Olives,Calories,kcal/capita/day,61to63,13.87719298
Onions,Calories,kcal/capita/day,61to63,3.282894737
Oranges & mandarines,Calories,kcal/capita/day,61to63,6.037280702
Palm oil,Calories,kcal/capita/day,61to63,18.80921053
Peas,Calories,kcal/capita/day,61to63,5.743421053
Pepper,Calories,kcal/capita/day,61to63,0.184210526
Pimento,Calories,kcal/capita/day,61to63,1.837719298
Pineapples,Calories,kcal/capita/day,61to63,1.254385965
Potatoes,Calories,kcal/capita/day,61to63,47.67105263
Pulses (other),Calories,kcal/capita/day,61to63,31.31140351
Rape & mustard,Calories,kcal/capita/day,61to63,4.464912281
Rice,Calories,kcal/capita/day,61to63,261.1118421
Roots (other),Calories,kcal/capita/day,61to63,32.53947368
Rye,Calories,kcal/capita/day,61to63,20.49122807
Sesame ,Calories,kcal/capita/day,61to63,4.447368421
Sorghum,Calories,kcal/capita/day,61to63,61.54824561
Soybean,Calories,kcal/capita/day,61to63,18.4627193
Spices (other),Calories,kcal/capita/day,61to63,1.885964912
Sugar,Calories,kcal/capita/day,61to63,219.5197368
Sunflower,Calories,kcal/capita/day,61to63,10.52412281
Sweet potatoes,Calories,kcal/capita/day,61to63,25.87719298
Sweeteners (other),Calories,kcal/capita/day,61to63,3.622807018
Tea,Calories,kcal/capita/day,61to63,0.504385965
Tomatoes,Calories,kcal/capita/day,61to63,3.535087719
Treenuts,Calories,kcal/capita/day,61to63,6.960526316
Vegetables (other),Calories,kcal/capita/day,61to63,25.43859649
Wheat,Calories,kcal/capita/day,61to63,403.3223684
Yams,Calories,kcal/capita/day,61to63,20.97587719
Alcoholic beverages,Calories,kcal/capita/day,07to09,22.17229675
Animal Products (Total),Calories,kcal/capita/day,07to09,509.2504331
Apples,Calories,kcal/capita/day,07to09,9.263252489
Bananas & plantains,Calories,kcal/capita/day,07to09,43.65474873
Barley & beer,Calories,kcal/capita/day,07to09,42.82493944
Beans,Calories,kcal/capita/day,07to09,27.64866454
Cassava,Calories,kcal/capita/day,07to09,65.20394737
Cereals (other),Calories,kcal/capita/day,07to09,10.02193174
Citrus (other),Calories,kcal/capita/day,07to09,0.809865342
Cloves,Calories,kcal/capita/day,07to09,0.048245614
Cocoa beans,Calories,kcal/capita/day,07to09,10.73003817
Coconuts,Calories,kcal/capita/day,07to09,43.44671249
Coffee,Calories,kcal/capita/day,07to09,3.006149748
Cottonseed oil,Calories,kcal/capita/day,07to09,6.079903206
Dates,Calories,kcal/capita/day,07to09,4.691141996
Fermented beverages,Calories,kcal/capita/day,07to09,6.514401898
Fruits (other),Calories,kcal/capita/day,07to09,28.32639809
Grapefruit,Calories,kcal/capita/day,07to09,2.015812032
Grapes & wine,Calories,kcal/capita/day,07to09,18.27604092
Groundnut,Calories,kcal/capita/day,07to09,34.31161715
Lemons & limes,Calories,kcal/capita/day,07to09,1.042726461
Maize,Calories,kcal/capita/day,07to09,198.8412788
Millets,Calories,kcal/capita/day,07to09,29.92865037
Miscellaneous,Calories,kcal/capita/day,07to09,8.86508472
Oats,Calories,kcal/capita/day,07to09,4.024072965
Oilcrops (other),Calories,kcal/capita/day,07to09,22.59862513
Olives,Calories,kcal/capita/day,07to09,20.04180748
Onions,Calories,kcal/capita/day,07to09,7.44418131
Oranges & mandarines,Calories,kcal/capita/day,07to09,10.65154085
Palm oil,Calories,kcal/capita/day,07to09,57.49179694
Peas,Calories,kcal/capita/day,07to09,7.196543452
Pepper,Calories,kcal/capita/day,07to09,0.717880777
Pimento,Calories,kcal/capita/day,07to09,3.237927426
Pineapples,Calories,kcal/capita/day,07to09,3.428812629
Potatoes,Calories,kcal/capita/day,07to09,52.80013218
Pulses (other),Calories,kcal/capita/day,07to09,29.33304248
Rape & mustard,Calories,kcal/capita/day,07to09,21.83827418
Rice,Calories,kcal/capita/day,07to09,328.8257277
Roots (other),Calories,kcal/capita/day,07to09,23.25015994
Rye,Calories,kcal/capita/day,07to09,7.367576594
Sesame ,Calories,kcal/capita/day,07to09,7.745246658
Sorghum,Calories,kcal/capita/day,07to09,35.10298306
Soybean,Calories,kcal/capita/day,07to09,77.38868559
Spices (other),Calories,kcal/capita/day,07to09,5.185616816
Sugar,Calories,kcal/capita/day,07to09,263.6521941
Sunflower,Calories,kcal/capita/day,07to09,39.44355322
Sweet potatoes,Calories,kcal/capita/day,07to09,17.37372826
Sweeteners (other),Calories,kcal/capita/day,07to09,18.29263333
Tea,Calories,kcal/capita/day,07to09,0.707644931
Tomatoes,Calories,kcal/capita/day,07to09,8.783034236
Treenuts,Calories,kcal/capita/day,07to09,14.70029653
Vegetables (other),Calories,kcal/capita/day,07to09,39.1390702
Wheat,Calories,kcal/capita/day,07to09,494.6058867
Yams,Calories,kcal/capita/day,07to09,20.04941459
