ItemName,ElementName,UnitName,AvgValue61to63,61-63percentoftotal,AvgValue07to09,07-09percentoftotal,change 2009-1961,absoluteChange,change of relative percent 2009-1961,relativeChange,Use
Alcoholic beverages,Calories,kcal/capita/day,16.09,0.70%,22.17,0.80%,6.08,37.80%,0.10%,12.80%,
Alcoholic beverages,Fat,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,
Alcoholic beverages,Food Weight,g/capita/day,5.47,0.40%,7.62,0.40%,2.15,39.20%,0.00%,10.90%,
Alcoholic beverages,Protein,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,
Animal Products (Total),Calories,kcal/capita/day,384.87,17.00%,509.25,18.40%,124.38,32.30%,1.40%,8.30%,1
Animal Products (Total),Fat,g/capita/day,28.11,50.80%,35.72,43.20%,7.61,27.10%,-7.60%,-15.00%,1
Animal Products (Total),Food Weight,g/capita/day,347.36,24.00%,491.54,27.00%,144.18,41.50%,3.00%,12.70%,1
Animal Products (Total),Protein,g/capita/day,22.87,37.30%,34.32,44.30%,11.46,50.10%,7.00%,18.80%,1
Apples,Calories,kcal/capita/day,5.61,0.20%,9.26,0.30%,3.65,65.10%,0.10%,35.10%,
Apples,Fat,g/capita/day,0.04,0.10%,0.05,0.10%,0.01,23.20%,0.00%,-17.60%,
Apples,Food Weight,g/capita/day,12.17,0.80%,24.13,1.30%,11.96,98.30%,0.50%,57.90%,1
Apples,Protein,g/capita/day,0.03,0.10%,0.04,0.10%,0.01,29.30%,0.00%,2.30%,
Bananas & plantains,Calories,kcal/capita/day,42.16,1.90%,43.65,1.60%,1.5,3.60%,-0.30%,-15.30%,1
Bananas & plantains,Fat,g/capita/day,0.09,0.20%,0.1,0.10%,0.01,9.10%,0.00%,-27.10%,
Bananas & plantains,Food Weight,g/capita/day,58.8,4.10%,61.65,3.40%,2.86,4.90%,-0.70%,-16.50%,1
Bananas & plantains,Protein,g/capita/day,0.47,0.80%,0.5,0.60%,0.04,7.80%,-0.10%,-14.70%,
Barley & beer,Calories,kcal/capita/day,34.45,1.50%,42.82,1.50%,8.37,24.30%,0.00%,1.70%,1
Barley & beer,Fat,g/capita/day,0.07,0.10%,0.03,0.00%,-0.04,-59.00%,-0.10%,-72.60%,
Barley & beer,Food Weight,g/capita/day,45.32,3.10%,80.87,4.40%,35.55,78.40%,1.30%,42.10%,1
Barley & beer,Protein,g/capita/day,0.66,1.10%,0.58,0.70%,-0.08,-12.60%,-0.30%,-30.80%,
Beans,Calories,kcal/capita/day,26.35,1.20%,27.65,1.00%,1.3,4.90%,-0.20%,-14.10%,1
Beans,Fat,g/capita/day,0.12,0.20%,0.12,0.10%,0.01,6.10%,-0.10%,-29.10%,
Beans,Food Weight,g/capita/day,7.81,0.50%,8.19,0.40%,0.38,4.90%,-0.10%,-16.50%,
Beans,Protein,g/capita/day,1.69,2.80%,1.78,2.30%,0.09,5.60%,-0.50%,-16.50%,1
Cassava,Calories,kcal/capita/day,83.74,3.70%,65.2,2.40%,-18.54,-22.10%,-1.30%,-36.30%,1
Cassava,Fat,g/capita/day,0.12,0.20%,0.09,0.10%,-0.03,-26.00%,-0.10%,-50.50%,
Cassava,Food Weight,g/capita/day,83.15,5.70%,64.33,3.50%,-18.81,-22.60%,-2.20%,-38.40%,1
Cassava,Protein,g/capita/day,0.62,1.00%,0.49,0.60%,-0.13,-21.10%,-0.40%,-37.50%,
Cereals (other),Calories,kcal/capita/day,20.89,0.90%,10.02,0.40%,-10.87,-52.00%,-0.60%,-60.70%,
Cereals (other),Fat,g/capita/day,0.09,0.20%,0.03,0.00%,-0.05,-62.80%,-0.10%,-75.10%,
Cereals (other),Food Weight,g/capita/day,7.21,0.50%,3.62,0.20%,-3.58,-49.70%,-0.30%,-60.00%,
Cereals (other),Protein,g/capita/day,0.56,0.90%,0.27,0.40%,-0.28,-51.00%,-0.60%,-61.20%,
Citrus (other),Calories,kcal/capita/day,0.57,0.00%,0.81,0.00%,0.24,41.50%,0.00%,15.80%,
Citrus (other),Fat,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,-33.10%,
