ItemName,ElementName,UnitName,Include,Change,Value
Alcoholic beverages,Calories,kcal/capita/day,,absoluteChange,0.378
Alcoholic beverages,Calories,kcal/capita/day,,relativeChange,0.128
Alcoholic beverages,Fat,g/capita/day,,absoluteChange,0
Alcoholic beverages,Fat,g/capita/day,,relativeChange,0
Alcoholic beverages,Food Weight,g/capita/day,,absoluteChange,0.392
Alcoholic beverages,Food Weight,g/capita/day,,relativeChange,0.109
Alcoholic beverages,Protein,g/capita/day,,absoluteChange,0
Alcoholic beverages,Protein,g/capita/day,,relativeChange,0
Animal Products (Total),Calories,kcal/capita/day,1,absoluteChange,0.323
Animal Products (Total),Calories,kcal/capita/day,1,relativeChange,0.083
Animal Products (Total),Fat,g/capita/day,1,absoluteChange,0.271
Animal Products (Total),Fat,g/capita/day,1,relativeChange,-0.15
Animal Products (Total),Food Weight,g/capita/day,1,absoluteChange,0.415
Animal Products (Total),Food Weight,g/capita/day,1,relativeChange,0.127
Animal Products (Total),Protein,g/capita/day,1,absoluteChange,0.501
Animal Products (Total),Protein,g/capita/day,1,relativeChange,0.188
Apples,Calories,kcal/capita/day,,absoluteChange,0.651
Apples,Calories,kcal/capita/day,,relativeChange,0.351
Apples,Fat,g/capita/day,,absoluteChange,0.232
Apples,Fat,g/capita/day,,relativeChange,-0.176
Apples,Food Weight,g/capita/day,1,absoluteChange,0.983
Apples,Food Weight,g/capita/day,1,relativeChange,0.579
Apples,Protein,g/capita/day,,absoluteChange,0.293
Apples,Protein,g/capita/day,,relativeChange,0.023
Bananas & plantains,Calories,kcal/capita/day,1,absoluteChange,0.036
Bananas & plantains,Calories,kcal/capita/day,1,relativeChange,-0.153
Bananas & plantains,Fat,g/capita/day,,absoluteChange,0.091
Bananas & plantains,Fat,g/capita/day,,relativeChange,-0.271
Bananas & plantains,Food Weight,g/capita/day,1,absoluteChange,0.049
Bananas & plantains,Food Weight,g/capita/day,1,relativeChange,-0.165
Bananas & plantains,Protein,g/capita/day,,absoluteChange,0.078
Bananas & plantains,Protein,g/capita/day,,relativeChange,-0.147
Barley & beer,Calories,kcal/capita/day,1,absoluteChange,0.243
Barley & beer,Calories,kcal/capita/day,1,relativeChange,0.017
Barley & beer,Fat,g/capita/day,,absoluteChange,-0.59
Barley & beer,Fat,g/capita/day,,relativeChange,-0.726
Barley & beer,Food Weight,g/capita/day,1,absoluteChange,0.784
Barley & beer,Food Weight,g/capita/day,1,relativeChange,0.421
Barley & beer,Protein,g/capita/day,,absoluteChange,-0.126
Barley & beer,Protein,g/capita/day,,relativeChange,-0.308
Beans,Calories,kcal/capita/day,1,absoluteChange,0.049
Beans,Calories,kcal/capita/day,1,relativeChange,-0.141
Beans,Fat,g/capita/day,,absoluteChange,0.061
Beans,Fat,g/capita/day,,relativeChange,-0.291
Beans,Food Weight,g/capita/day,,absoluteChange,0.049
Beans,Food Weight,g/capita/day,,relativeChange,-0.165
Beans,Protein,g/capita/day,1,absoluteChange,0.056
Beans,Protein,g/capita/day,1,relativeChange,-0.165
Cassava,Calories,kcal/capita/day,1,absoluteChange,-0.221
Cassava,Calories,kcal/capita/day,1,relativeChange,-0.363
Cassava,Fat,g/capita/day,,absoluteChange,-0.26
Cassava,Fat,g/capita/day,,relativeChange,-0.505
Cassava,Food Weight,g/capita/day,1,absoluteChange,-0.226
Cassava,Food Weight,g/capita/day,1,relativeChange,-0.384
Cassava,Protein,g/capita/day,,absoluteChange,-0.211
Cassava,Protein,g/capita/day,,relativeChange,-0.375
Cereals (other),Calories,kcal/capita/day,,absoluteChange,-0.52
Cereals (other),Calories,kcal/capita/day,,relativeChange,-0.607
Cereals (other),Fat,g/capita/day,,absoluteChange,-0.628
Cereals (other),Fat,g/capita/day,,relativeChange,-0.751
Cereals (other),Food Weight,g/capita/day,,absoluteChange,-0.497
Cereals (other),Food Weight,g/capita/day,,relativeChange,-0.6
Cereals (other),Protein,g/capita/day,,absoluteChange,-0.51
Cereals (other),Protein,g/capita/day,,relativeChange,-0.612
Citrus (other),Calories,kcal/capita/day,,absoluteChange,0.415
Citrus (other),Calories,kcal/capita/day,,relativeChange,0.158
Citrus (other),Fat,g/capita/day,,absoluteChange,0
Citrus (other),Fat,g/capita/day,,relativeChange,-0.331
Citrus (other),Food Weight,g/capita/day,,absoluteChange,0.544
Citrus (other),Food Weight,g/capita/day,,relativeChange,0.229
Citrus (other),Protein,g/capita/day,,absoluteChange,0.214
Citrus (other),Protein,g/capita/day,,relativeChange,-0.039
Cloves,Calories,kcal/capita/day,,absoluteChange,6.333
Cloves,Calories,kcal/capita/day,,relativeChange,5.001
Cloves,Fat,g/capita/day,,absoluteChange,3
Cloves,Fat,g/capita/day,,relativeChange,1.675
Cloves,Food Weight,g/capita/day,,absoluteChange,5.75
Cloves,Food Weight,g/capita/day,,relativeChange,4.374
Cloves,Protein,g/capita/day,,absoluteChange,0
Cloves,Protein,g/capita/day,,relativeChange,0
Cocoa beans,Calories,kcal/capita/day,,absoluteChange,3.552
Cocoa beans,Calories,kcal/capita/day,,relativeChange,2.724
Cocoa beans,Fat,g/capita/day,1,absoluteChange,3.704
Cocoa beans,Fat,g/capita/day,1,relativeChange,2.146
Cocoa beans,Food Weight,g/capita/day,,absoluteChange,1.646
Cocoa beans,Food Weight,g/capita/day,,relativeChange,1.107
Cocoa beans,Protein,g/capita/day,,absoluteChange,1.751
Cocoa beans,Protein,g/capita/day,,relativeChange,1.177
Coconuts,Calories,kcal/capita/day,1,absoluteChange,-0.212
Coconuts,Calories,kcal/capita/day,1,relativeChange,-0.355
Coconuts,Fat,g/capita/day,1,absoluteChange,-0.231
Coconuts,Fat,g/capita/day,1,relativeChange,-0.485
Coconuts,Food Weight,g/capita/day,1,absoluteChange,-0.137
Coconuts,Food Weight,g/capita/day,1,relativeChange,-0.313
Coconuts,Protein,g/capita/day,,absoluteChange,-0.116
Coconuts,Protein,g/capita/day,,relativeChange,-0.301
Coffee,Calories,kcal/capita/day,,absoluteChange,0.878
