CountryName,ElementName,Year,Count
Albania,Calories,1961,19
Algeria,Calories,1961,29
Angola,Calories,1961,26
Antigua and Barbuda,Calories,1961,19
Argentina,Calories,1961,38
Australia,Calories,1961,38
Austria,Calories,1961,35
Bahamas,Calories,1961,27
Bangladesh,Calories,1961,26
Barbados,Calories,1961,29
Belgium-Luxembourg,Calories,1961,38
Belize,Calories,1961,19
Benin,Calories,1961,30
Bermuda,Calories,1961,27
Bolivia (Plurinational State of),Calories,1961,30
Botswana,Calories,1961,20
Brazil,Calories,1961,33
Brunei Darussalam,Calories,1961,25
Bulgaria,Calories,1961,25
Burkina Faso,Calories,1961,22
Burundi,Calories,1961,22
Cambodia,Calories,1961,25
Cameroon,Calories,1961,31
Canada,Calories,1961,39
Cape Verde,Calories,1961,22
Central African Republic,Calories,1961,24
Chad,Calories,1961,24
Chile,Calories,1961,31
China,Calories,1961,33
Colombia,Calories,1961,28
Comoros,Calories,1961,13
Congo,Calories,1961,27
Costa Rica,Calories,1961,25
C“te d'Ivoire,Calories,1961,31
Cuba,Calories,1961,30
Cyprus,Calories,1961,36
Czechoslovakia,Calories,1961,37
Democratic People's Republic of Korea,Calories,1961,22
Denmark,Calories,1961,35
Djibouti,Calories,1961,13
Dominica,Calories,1961,28
Dominican Republic,Calories,1961,33
Ecuador,Calories,1961,36
Egypt,Calories,1961,31
El Salvador,Calories,1961,25
Ethiopia PDR,Calories,1961,29
Fiji,Calories,1961,25
Finland,Calories,1961,28
France,Calories,1961,38
French Polynesia,Calories,1961,29
Gabon,Calories,1961,21
Gambia,Calories,1961,20
Germany,Calories,1961,37
Ghana,Calories,1961,30
Greece,Calories,1961,34
Grenada,Calories,1961,32
Guatemala,Calories,1961,27
Guinea,Calories,1961,23
Guinea-Bissau,Calories,1961,23
Guyana,Calories,1961,30
Haiti,Calories,1961,29
Honduras,Calories,1961,25
Hungary,Calories,1961,25
Iceland,Calories,1961,27
India,Calories,1961,30
Indonesia,Calories,1961,21
Iran (Islamic Republic of),Calories,1961,27
Ireland,Calories,1961,29
Israel,Calories,1961,38
Italy,Calories,1961,35
Jamaica,Calories,1961,33
Japan,Calories,1961,38
Jordan,Calories,1961,28
Kenya,Calories,1961,29
Kiribati,Calories,1961,12
Kuwait,Calories,1961,27
