CountryName,Abbrev,Measurement,Year,Dominance
Albania,Albania,Calories,1961,0.409312398
Algeria,Algeria,Calories,1961,0.562043796
Angola,Angola,Calories,1961,0.362545018
Ant. & Barb.,Antigua and Barbuda,Calories,1961,0.404508453
Argentina,Argentina,Calories,1961,0.442469598
Australia,Australia,Calories,1961,0.421968461
Austria,Austria,Calories,1961,0.26155268
Bahamas,Bahamas,Calories,1961,0.266899767
Bangladesh,Bangladesh,Calories,1961,0.819545235
Barbados,Barbados,Calories,1961,0.256410256
Belg-Lux,Belgium-Luxembourg,Calories,1961,0.391658189
Belize,Belize,Calories,1961,0.346602608
Benin,Benin,Calories,1961,0.274836407
Bermuda,Bermuda,Calories,1961,0.287616511
Bolivia,Bolivia (Plurinational State of),Calories,1961,0.270891365
Botswana,Botswana,Calories,1961,0.32566586
Brazil,Brazil,Calories,1961,0.212467532
Brunei Dar.,Brunei Darussalam,Calories,1961,0.46167147
Bulgaria,Bulgaria,Calories,1961,0.601966497
Burkina Faso,Burkina Faso,Calories,1961,0.373381295
Burundi,Burundi,Calories,1961,0.30377907
Cambodia,Cambodia,Calories,1961,0.803370787
Cameroon,Cameroon,Calories,1961,0.243812533
Canada,Canada,Calories,1961,0.329479769
Cape Verde,Cape Verde,Calories,1961,0.545396825
C. Af. Rep,Central African Republic,Calories,1961,0.541203704
Chad,Chad,Calories,1961,0.378823529
Chile,Chile,Calories,1961,0.505769231
China,China,Calories,1961,0.315519766
Colombia,Colombia,Calories,1961,0.251870324
Comoros,Comoros,Calories,1961,0.313695871
Congo,Congo,Calories,1961,0.657056146
Costa Rica,Costa Rica,Calories,1961,0.261445783
Ivory Coast,C“te d'Ivoire,Calories,1961,0.263032042
Cuba,Cuba,Calories,1961,0.274782609
Cyprus,Cyprus,Calories,1961,0.412361624
Czech.,Czechoslovakia,Calories,1961,0.347350715
North Korea,Democratic People's Republic of Korea,Calories,1961,0.469522241
Denmark,Denmark,Calories,1961,0.241682975
Djibouti,Djibouti,Calories,1961,0.261160714
Dominica,Dominica,Calories,1961,0.310178817
Dom. Rep.,Dominican Republic,Calories,1961,0.216378162
Ecuador,Ecuador,Calories,1961,0.162893082
Egypt,Egypt,Calories,1961,0.342430484
El Salvador,El Salvador,Calories,1961,0.428778019
Ethiopia,Ethiopia PDR,Calories,1961,0.234093637
Fiji,Fiji,Calories,1961,0.223190933
Finland,Finland,Calories,1961,0.327254306
France,France,Calories,1961,0.421875
Frch. Polyn.,French Polynesia,Calories,1961,0.378262933
Gabon,Gabon,Calories,1961,0.349349915
Gambia,Gambia,Calories,1961,0.28630491
Germany,Germany,Calories,1961,0.215352911
Ghana,Ghana,Calories,1961,0.196371398
Greece,Greece,Calories,1961,0.509410802
Grenada,Grenada,Calories,1961,0.314323607
Guatemala,Guatemala,Calories,1961,0.635250918
Guinea,Guinea,Calories,1961,0.186431901
Guinea-Biss.,Guinea-Bissau,Calories,1961,0.346466542
Guyana,Guyana,Calories,1961,0.293180687
Haiti,Haiti,Calories,1961,0.241071429
Honduras,Honduras,Calories,1961,0.506873879
Hungary,Hungary,Calories,1961,0.542038516
Iceland,Iceland,Calories,1961,0.3117338
India,India,Calories,1961,0.348898216
Indonesia,Indonesia,Calories,1961,0.48856305
Iran,Iran (Islamic Republic of),Calories,1961,0.583387835
Ireland,Ireland,Calories,1961,0.45666356
Israel,Israel,Calories,1961,0.468376068
Italy,Italy,Calories,1961,0.474338412
Jamaica,Jamaica,Calories,1961,0.328834356
Japan,Japan,Calories,1961,0.518926056
Jordan,Jordan,Calories,1961,0.509063444
Kenya,Kenya,Calories,1961,0.479269497
Kiribati,Kiribati,Calories,1961,0.430018416
Kuwait,Kuwait,Calories,1961,0.39869281
Laos,Lao People's Democratic Republic,Calories,1961,0.870080863
Lebanon,Lebanon,Calories,1961,0.53713997
Lesotho,Lesotho,Calories,1961,0.433083512
Liberia,Liberia,Calories,1961,0.393655746
