Abbrev,CountryName,ElementName,Year,Evenness
Albania,Albania,Calories,1961,0.551919587
Algeria,Algeria,Calories,1961,0.503620673
Angola,Angola,Calories,1961,0.642300276
Antigua and Barbuda,Ant. & Barb.,Calories,1961,0.589840657
Argentina,Argentina,Calories,1961,0.571068898
Australia,Australia,Calories,1961,0.521759826
Austria,Austria,Calories,1961,0.687482905
Bahamas,Bahamas,Calories,1961,0.667026311
Bangladesh,Bangladesh,Calories,1961,0.292596841
Barbados,Barbados,Calories,1961,0.665541387
Belgium-Luxembourg,Belg-Lux,Calories,1961,0.615294779
Belize,Belize,Calories,1961,0.708525369
Benin,Benin,Calories,1961,0.646263365
Bermuda,Bermuda,Calories,1961,0.694497184
Bolivia (Plurinational State of),Bolivia,Calories,1961,0.682602322
Botswana,Botswana,Calories,1961,0.634148843
Brazil,Brazil,Calories,1961,0.66935517
Brunei Darussalam,Brunei Dar.,Calories,1961,0.571415642
Bulgaria,Bulgaria,Calories,1961,0.516171357
Burkina Faso,Burkina Faso,Calories,1961,0.663699307
Burundi,Burundi,Calories,1961,0.692520072
Cambodia,Cambodia,Calories,1961,0.312866754
Cameroon,Cameroon,Calories,1961,0.734765447
Canada,Canada,Calories,1961,0.623216129
Cape Verde,Cape Verde,Calories,1961,0.582188018
Central African Republic,C. Af. Rep,Calories,1961,0.559964874
Chad,Chad,Calories,1961,0.618958959
Chile,Chile,Calories,1961,0.559117461
China,China,Calories,1961,0.670722335
Colombia,Colombia,Calories,1961,0.691407731
Comoros,Comoros,Calories,1961,0.685874292
Congo,Congo,Calories,1961,0.467158261
Costa Rica,Costa Rica,Calories,1961,0.684284077
C“te d'Ivoire,Ivory Coast,Calories,1961,0.692321561
Cuba,Cuba,Calories,1961,0.652968401
Cyprus,Cyprus,Calories,1961,0.648740626
Czechoslovakia,Czech.,Calories,1961,0.611006749
Democratic People's Republic of Korea,North Korea,Calories,1961,0.630534027
Denmark,Denmark,Calories,1961,0.665262751
Djibouti,Djibouti,Calories,1961,0.672687803
Dominica,Dominica,Calories,1961,0.682947028
Dominican Republic,Dom. Rep.,Calories,1961,0.717291289
Ecuador,Ecuador,Calories,1961,0.758948221
Egypt,Egypt,Calories,1961,0.605818252
El Salvador,El Salvador,Calories,1961,0.611177853
Ethiopia PDR,Ethiopia,Calories,1961,0.704295332
Fiji,Fiji,Calories,1961,0.642685316
Finland,Finland,Calories,1961,0.609213037
France,France,Calories,1961,0.574647142
French Polynesia,Frch. Polyn.,Calories,1961,0.618179753
Gabon,Gabon,Calories,1961,0.665514511
Gambia,Gambia,Calories,1961,0.664767858
Germany,Germany,Calories,1961,0.71661478
Ghana,Ghana,Calories,1961,0.748053621
Greece,Greece,Calories,1961,0.547696543
Grenada,Grenada,Calories,1961,0.667949629
Guatemala,Guatemala,Calories,1961,0.43535451
Guinea,Guinea,Calories,1961,0.813017439
Guinea-Bissau,Guinea-Biss.,Calories,1961,0.701647152
Guyana,Guyana,Calories,1961,0.58281096
Haiti,Haiti,Calories,1961,0.728091737
Honduras,Honduras,Calories,1961,0.541476333
Hungary,Hungary,Calories,1961,0.542261921
Iceland,Iceland,Calories,1961,0.632593764
India,India,Calories,1961,0.671215131
Indonesia,Indonesia,Calories,1961,0.601172192
Iran (Islamic Republic of),Iran,Calories,1961,0.473226812
Ireland,Ireland,Calories,1961,0.520598025
Israel,Israel,Calories,1961,0.579798537
Italy,Italy,Calories,1961,0.583290985
Jamaica,Jamaica,Calories,1961,0.610400826
Japan,Japan,Calories,1961,0.527694486
Jordan,Jordan,Calories,1961,0.572789082
Kenya,Kenya,Calories,1961,0.607752618
Kiribati,Kiribati,Calories,1961,0.664026652
Kuwait,Kuwait,Calories,1961,0.608747673
Lao People's Democratic Republic,Laos,Calories,1961,0.230900553
Lebanon,Lebanon,Calories,1961,0.565958948
Lesotho,Lesotho,Calories,1961,0.599319088
Liberia,Liberia,Calories,1961,0.540842185
Libya,Libya,Calories,1961,0.596173968
Madagascar,Madagascar,Calories,1961,0.498395638
Malawi,Malawi,Calories,1961,0.466672188
Malaysia,Malaysia,Calories,1961,0.485852888
Maldives,Maldives,Calories,1961,0.796847138
Mali,Mali,Calories,1961,0.604544552
Malta,Malta,Calories,1961,0.495311313
Mauritania,Mauritania,Calories,1961,0.660840688
Mauritius,Mauritius,Calories,1961,0.54965004
Mexico,Mexico,Calories,1961,0.500915703
Mongolia,Mongolia,Calories,1961,0.235738105
Morocco,Morocco,Calories,1961,0.486411372
