CountryName,Abbrev,ElementName,Year,Count
Albania,Albania,Calories,1961,19
Algeria,Algeria,Calories,1961,29
Angola,Angola,Calories,1961,26
Ant. & Barb.,Antigua and Barbuda,Calories,1961,19
Argentina,Argentina,Calories,1961,38
Australia,Australia,Calories,1961,38
Austria,Austria,Calories,1961,35
Bahamas,Bahamas,Calories,1961,27
Bangladesh,Bangladesh,Calories,1961,26
Barbados,Barbados,Calories,1961,29
Belg-Lux,Belgium-Luxembourg,Calories,1961,38
Belize,Belize,Calories,1961,19
Benin,Benin,Calories,1961,30
Bermuda,Bermuda,Calories,1961,27
Bolivia,Bolivia (Plurinational State of),Calories,1961,30
Botswana,Botswana,Calories,1961,20
Brazil,Brazil,Calories,1961,33
Brunei Dar.,Brunei Darussalam,Calories,1961,25
Bulgaria,Bulgaria,Calories,1961,25
Burkina Faso,Burkina Faso,Calories,1961,22
Burundi,Burundi,Calories,1961,22
Cambodia,Cambodia,Calories,1961,25
Cameroon,Cameroon,Calories,1961,31
Canada,Canada,Calories,1961,39
Cape Verde,Cape Verde,Calories,1961,22
C. Af. Rep,Central African Republic,Calories,1961,24
Chad,Chad,Calories,1961,24
Chile,Chile,Calories,1961,31
China,China,Calories,1961,33
Colombia,Colombia,Calories,1961,28
Comoros,Comoros,Calories,1961,13
Congo,Congo,Calories,1961,27
Costa Rica,Costa Rica,Calories,1961,25
Ivory Coast,C“te d'Ivoire,Calories,1961,31
Cuba,Cuba,Calories,1961,30
Cyprus,Cyprus,Calories,1961,36
Czech.,Czechoslovakia,Calories,1961,37
North Korea,Democratic People's Republic of Korea,Calories,1961,22
Denmark,Denmark,Calories,1961,35
Djibouti,Djibouti,Calories,1961,13
Dominica,Dominica,Calories,1961,28
Dom. Rep.,Dominican Republic,Calories,1961,33
Ecuador,Ecuador,Calories,1961,36
Egypt,Egypt,Calories,1961,31
El Salvador,El Salvador,Calories,1961,25
Ethiopia,Ethiopia PDR,Calories,1961,29
Fiji,Fiji,Calories,1961,25
Finland,Finland,Calories,1961,28
France,France,Calories,1961,38
Frch. Polyn.,French Polynesia,Calories,1961,29
Gabon,Gabon,Calories,1961,21
Gambia,Gambia,Calories,1961,20
Germany,Germany,Calories,1961,37
Ghana,Ghana,Calories,1961,30
Greece,Greece,Calories,1961,34
Grenada,Grenada,Calories,1961,32
Guatemala,Guatemala,Calories,1961,27
Guinea,Guinea,Calories,1961,23
Guinea-Biss.,Guinea-Bissau,Calories,1961,23
Guyana,Guyana,Calories,1961,30
Haiti,Haiti,Calories,1961,29
Honduras,Honduras,Calories,1961,25
Hungary,Hungary,Calories,1961,25
Iceland,Iceland,Calories,1961,27
India,India,Calories,1961,30
Indonesia,Indonesia,Calories,1961,21
Iran,Iran (Islamic Republic of),Calories,1961,27
Ireland,Ireland,Calories,1961,29
Israel,Israel,Calories,1961,38
Italy,Italy,Calories,1961,35
Jamaica,Jamaica,Calories,1961,33
Japan,Japan,Calories,1961,38
Jordan,Jordan,Calories,1961,28
Kenya,Kenya,Calories,1961,29
Kiribati,Kiribati,Calories,1961,12
Kuwait,Kuwait,Calories,1961,27
Laos,Lao People's Democratic Republic,Calories,1961,22
Lebanon,Lebanon,Calories,1961,34
Lesotho,Lesotho,Calories,1961,15
Liberia,Liberia,Calories,1961,24
Libya,Libya,Calories,1961,23
Madagascar,Madagascar,Calories,1961,30
Malawi,Malawi,Calories,1961,21
Malaysia,Malaysia,Calories,1961,34
Maldives,Maldives,Calories,1961,13
Mali,Mali,Calories,1961,22
Malta,Malta,Calories,1961,33
Mauritania,Mauritania,Calories,1961,19
Mauritius,Mauritius,Calories,1961,31
Mexico,Mexico,Calories,1961,38
Mongolia,Mongolia,Calories,1961,12
Morocco,Morocco,Calories,1961,37
Mozambique,Mozambique,Calories,1961,27
Myanmar,Myanmar,Calories,1961,23
Namibia,Namibia,Calories,1961,12
Nepal,Nepal,Calories,1961,16
Netherlands,Netherlands,Calories,1961,31
New Caledon.,New Caledonia,Calories,1961,21
New Zealand,New Zealand,Calories,1961,32
Nicaragua,Nicaragua,Calories,1961,21
Niger,Niger,Calories,1961,20
Nigeria,Nigeria,Calories,1961,30
Norway,Norway,Calories,1961,31
Pakistan,Pakistan,Calories,1961,29
Panama,Panama,Calories,1961,31
Paraguay,Paraguay,Calories,1961,30
Peru,Peru,Calories,1961,37
Philippines,Philippines,Calories,1961,29
Poland,Poland,Calories,1961,24
Portugal,Portugal,Calories,1961,28
South Korea,Republic of Korea,Calories,1961,22
Romania,Romania,Calories,1961,23
Rwanda,Rwanda,Calories,1961,18
St. Kitts,Saint Kitts and Nevis,Calories,1961,21
Saint Lucia,Saint Lucia,Calories,1961,25
St. Vincent,Saint Vincent and the Grenadines,Calories,1961,30
Samoa,Samoa,Calories,1961,18
Sao Tome,Sao Tome and Principe,Calories,1961,20
