CountryName,Abbrev,Measurement,Year,Similarity
Albania,Albania,Calories,1961,0.580931701
Algeria,Algeria,Calories,1961,0.570858003
Angola,Angola,Calories,1961,0.397112742
Ant. & Barb.,Antigua and Barbuda,Calories,1961,0.653535617
Argentina,Argentina,Calories,1961,0.622556386
Australia,Australia,Calories,1961,0.6386696
Austria,Austria,Calories,1961,0.611348844
Bahamas,Bahamas,Calories,1961,0.677330856
Bangladesh,Bangladesh,Calories,1961,0.370819955
Barbados,Barbados,Calories,1961,0.688808704
Belg-Lux,Belgium-Luxembourg,Calories,1961,0.62784874
Belize,Belize,Calories,1961,0.702349285
Benin,Benin,Calories,1961,0.345594291
Bermuda,Bermuda,Calories,1961,0.606775517
Bolivia,Bolivia (Plurinational State of),Calories,1961,0.684568782
Botswana,Botswana,Calories,1961,0.405567394
Brazil,Brazil,Calories,1961,0.656089465
Brunei Dar.,Brunei Darussalam,Calories,1961,0.593842145
Bulgaria,Bulgaria,Calories,1961,0.523698824
Burkina Faso,Burkina Faso,Calories,1961,0.310934224
Burundi,Burundi,Calories,1961,0.290612365
Cambodia,Cambodia,Calories,1961,0.368818426
Cameroon,Cameroon,Calories,1961,0.383680017
Canada,Canada,Calories,1961,0.640118567
Cape Verde,Cape Verde,Calories,1961,0.472860887
C. Af. Rep,Central African Republic,Calories,1961,0.29724739
Chad,Chad,Calories,1961,0.29096158
Chile,Chile,Calories,1961,0.615592023
China,China,Calories,1961,0.48600745
Colombia,Colombia,Calories,1961,0.613979246
Comoros,Comoros,Calories,1961,0.38412324
Congo,Congo,Calories,1961,0.315170649
Costa Rica,Costa Rica,Calories,1961,0.661810592
Ivory Coast,C“te d'Ivoire,Calories,1961,0.393609415
Cuba,Cuba,Calories,1961,0.672477478
Cyprus,Cyprus,Calories,1961,0.601820989
Czech.,Czechoslovakia,Calories,1961,0.594866127
North Korea,Democratic People's Republic of Korea,Calories,1961,0.455434232
Denmark,Denmark,Calories,1961,0.57180295
Djibouti,Djibouti,Calories,1961,0.575488958
Dominica,Dominica,Calories,1961,0.646301679
Dom. Rep.,Dominican Republic,Calories,1961,0.574307591
Ecuador,Ecuador,Calories,1961,0.652725125
Egypt,Egypt,Calories,1961,0.657325024
El Salvador,El Salvador,Calories,1961,0.496894274
Ethiopia,Ethiopia PDR,Calories,1961,0.395926224
Fiji,Fiji,Calories,1961,0.639159247
Finland,Finland,Calories,1961,0.57876124
France,France,Calories,1961,0.603987484
Frch. Polyn.,French Polynesia,Calories,1961,0.718297118
Gabon,Gabon,Calories,1961,0.357000506
Gambia,Gambia,Calories,1961,0.400899515
Germany,Germany,Calories,1961,0.581817856
Ghana,Ghana,Calories,1961,0.429205665
Greece,Greece,Calories,1961,0.534246135
Grenada,Grenada,Calories,1961,0.679533193
Guatemala,Guatemala,Calories,1961,0.459879133
