CountryName,Measurement,Year,Similarity
Albania,Calories,1961,0.580931701
Algeria,Calories,1961,0.570858003
Angola,Calories,1961,0.397112742
Antigua and Barbuda,Calories,1961,0.653535617
Argentina,Calories,1961,0.622556386
Australia,Calories,1961,0.6386696
Austria,Calories,1961,0.611348844
Bahamas,Calories,1961,0.677330856
Bangladesh,Calories,1961,0.370819955
Barbados,Calories,1961,0.688808704
Belgium-Luxembourg,Calories,1961,0.62784874
Belize,Calories,1961,0.702349285
Benin,Calories,1961,0.345594291
Bermuda,Calories,1961,0.606775517
Bolivia (Plurinational State of),Calories,1961,0.684568782
Botswana,Calories,1961,0.405567394
Brazil,Calories,1961,0.656089465
Brunei Darussalam,Calories,1961,0.593842145
Bulgaria,Calories,1961,0.523698824
Burkina Faso,Calories,1961,0.310934224
Burundi,Calories,1961,0.290612365
Cambodia,Calories,1961,0.368818426
Cameroon,Calories,1961,0.383680017
Canada,Calories,1961,0.640118567
Cape Verde,Calories,1961,0.472860887
Central African Republic,Calories,1961,0.29724739
Chad,Calories,1961,0.29096158
Chile,Calories,1961,0.615592023
China,Calories,1961,0.48600745
Colombia,Calories,1961,0.613979246
Comoros,Calories,1961,0.38412324
Congo,Calories,1961,0.315170649
Costa Rica,Calories,1961,0.661810592
C“te d'Ivoire,Calories,1961,0.393609415
Cuba,Calories,1961,0.672477478
Cyprus,Calories,1961,0.601820989
Czechoslovakia,Calories,1961,0.594866127
Democratic People's Republic of Korea,Calories,1961,0.455434232
Denmark,Calories,1961,0.57180295
Djibouti,Calories,1961,0.575488958
Dominica,Calories,1961,0.646301679
Dominican Republic,Calories,1961,0.574307591
Ecuador,Calories,1961,0.652725125
Egypt,Calories,1961,0.657325024
El Salvador,Calories,1961,0.496894274
Ethiopia PDR,Calories,1961,0.395926224
Fiji,Calories,1961,0.639159247
Finland,Calories,1961,0.57876124
France,Calories,1961,0.603987484
French Polynesia,Calories,1961,0.718297118
Gabon,Calories,1961,0.357000506
Gambia,Calories,1961,0.400899515
Germany,Calories,1961,0.581817856
Ghana,Calories,1961,0.429205665
Greece,Calories,1961,0.534246135
Grenada,Calories,1961,0.679533193
Guatemala,Calories,1961,0.459879133
Guinea,Calories,1961,0.424211191
Guinea-Bissau,Calories,1961,0.384273279
Guyana,Calories,1961,0.681650581
Haiti,Calories,1961,0.522843281
Honduras,Calories,1961,0.472268939
Hungary,Calories,1961,0.585673018
Iceland,Calories,1961,0.582908494
India,Calories,1961,0.609686304
Indonesia,Calories,1961,0.449086481
Iran (Islamic Republic of),Calories,1961,0.647446391
Ireland,Calories,1961,0.587376619
Israel,Calories,1961,0.626673796
Italy,Calories,1961,0.585886841
Jamaica,Calories,1961,0.698666264
Japan,Calories,1961,0.538234184
Jordan,Calories,1961,0.623666806
Kenya,Calories,1961,0.42975252
Kiribati,Calories,1961,0.473945251
Kuwait,Calories,1961,0.659059542
Lao People's Democratic Republic,Calories,1961,0.324136098
Lebanon,Calories,1961,0.603274482
Lesotho,Calories,1961,0.486080911
Liberia,Calories,1961,0.384516475
Libya,Calories,1961,0.580705786
Madagascar,Calories,1961,0.443051415
Malawi,Calories,1961,0.324737116
Malaysia,Calories,1961,0.553430194
Maldives,Calories,1961,0.524422099
Mali,Calories,1961,0.318871981
Malta,Calories,1961,0.604273542
Mauritania,Calories,1961,0.426255604
Mauritius,Calories,1961,0.620736555
Mexico,Calories,1961,0.51632123
Mongolia,Calories,1961,0.479994996
Morocco,Calories,1961,0.589034288
Mozambique,Calories,1961,0.389500841
Myanmar,Calories,1961,0.367923864
Namibia,Calories,1961,0.442894373
Nepal,Calories,1961,0.445944708
Netherlands,Calories,1961,0.629829816
New Caledonia,Calories,1961,0.698118019
New Zealand,Calories,1961,0.625181067
Nicaragua,Calories,1961,0.529974825
Niger,Calories,1961,0.257321071
Nigeria,Calories,1961,0.331265144
Norway,Calories,1961,0.624931347
Pakistan,Calories,1961,0.683459466
Panama,Calories,1961,0.6652319
Paraguay,Calories,1961,0.592667635
Peru,Calories,1961,0.678155454
Philippines,Calories,1961,0.522632638
Poland,Calories,1961,0.525665257
Portugal,Calories,1961,0.642329753
Republic of Korea,Calories,1961,0.364990424
Romania,Calories,1961,0.554089571
Rwanda,Calories,1961,0.263944278
Saint Kitts and Nevis,Calories,1961,0.670818559
Saint Lucia,Calories,1961,0.616124028
Saint Vincent and the Grenadines,Calories,1961,0.670185115
Samoa,Calories,1961,0.464725162
Sao Tome and Principe,Calories,1961,0.537371329
Saudi Arabia,Calories,1961,0.487792854
Senegal,Calories,1961,0.508211601
Seychelles,Calories,1961,0.602853736
Sierra Leone,Calories,1961,0.445033671
Solomon Islands,Calories,1961,0.367496085
South Africa,Calories,1961,0.590379137
Spain,Calories,1961,0.594332029
Sri Lanka,Calories,1961,0.521351246
Sudan (former),Calories,1961,0.386545188
Suriname,Calories,1961,0.668116933
Swaziland,Calories,1961,0.401278014
Sweden,Calories,1961,0.588276284
Switzerland,Calories,1961,0.622492942
Syrian Arab Republic,Calories,1961,0.584276587
Thailand,Calories,1961,0.363435645
Timor-Leste,Calories,1961,0.426624706
Togo,Calories,1961,0.339633348
Trinidad and Tobago,Calories,1961,0.725422615
Tunisia,Calories,1961,0.558125517
Turkey,Calories,1961,0.527707034
Uganda,Calories,1961,0.378442676
United Arab Emirates,Calories,1961,0.617691149
United Kingdom,Calories,1961,0.625210698
United Republic of Tanzania,Calories,1961,0.425030934
United States of America,Calories,1961,0.652120033
Uruguay,Calories,1961,0.643432265
USSR,Calories,1961,0.541076631
Vanuatu,Calories,1961,0.433116084
Venezuela (Bolivarian Republic of),Calories,1961,0.641976935
Viet Nam,Calories,1961,0.376411238
Yemen,Calories,1961,0.349191048
Yugoslav SFR,Calories,1961,0.569578242
Zambia,Calories,1961,0.346784319
Zimbabwe,Calories,1961,0.4182999
Albania,Calories,1962,0.581760606
Algeria,Calories,1962,0.570488463
Angola,Calories,1962,0.415272441
Antigua and Barbuda,Calories,1962,0.640691864
Argentina,Calories,1962,0.617148014
Australia,Calories,1962,0.638740354
Austria,Calories,1962,0.608803845
Bahamas,Calories,1962,0.682452062
Bangladesh,Calories,1962,0.366984038
Barbados,Calories,1962,0.681380614
Belgium-Luxembourg,Calories,1962,0.625853589
Belize,Calories,1962,0.705514346
Benin,Calories,1962,0.365765602
Bermuda,Calories,1962,0.6094744
Bolivia (Plurinational State of),Calories,1962,0.688006143
Botswana,Calories,1962,0.413607619
Brazil,Calories,1962,0.660582371
Brunei Darussalam,Calories,1962,0.603813144
Bulgaria,Calories,1962,0.535847146
Burkina Faso,Calories,1962,0.316691702
Burundi,Calories,1962,0.294947145
Cambodia,Calories,1962,0.364974756
Cameroon,Calories,1962,0.382449606
Canada,Calories,1962,0.640677858
Cape Verde,Calories,1962,0.466737678
Central African Republic,Calories,1962,0.302169862
Chad,Calories,1962,0.295921066
Chile,Calories,1962,0.618072395
China,Calories,1962,0.49290887
Colombia,Calories,1962,0.621203723
Comoros,Calories,1962,0.387357891
Congo,Calories,1962,0.322256758
Costa Rica,Calories,1962,0.664803833
C“te d'Ivoire,Calories,1962,0.398081338
Cuba,Calories,1962,0.685756199
Cyprus,Calories,1962,0.616748121
Czechoslovakia,Calories,1962,0.588980287
Democratic People's Republic of Korea,Calories,1962,0.447820301
Denmark,Calories,1962,0.573398391
Djibouti,Calories,1962,0.561972811
Dominica,Calories,1962,0.655160825
Dominican Republic,Calories,1962,0.602498345
Ecuador,Calories,1962,0.655672093
Egypt,Calories,1962,0.654494932
El Salvador,Calories,1962,0.500542952
Ethiopia PDR,Calories,1962,0.39501323
Fiji,Calories,1962,0.645696476
Finland,Calories,1962,0.588295482
France,Calories,1962,0.608381833
French Polynesia,Calories,1962,0.711869727
Gabon,Calories,1962,0.369837792
Gambia,Calories,1962,0.402187098
Germany,Calories,1962,0.585074337
Ghana,Calories,1962,0.42386632
Greece,Calories,1962,0.536380782
Grenada,Calories,1962,0.684741378
Guatemala,Calories,1962,0.465956255
Guinea,Calories,1962,0.428131767
Guinea-Bissau,Calories,1962,0.387938843
Guyana,Calories,1962,0.673750092
Haiti,Calories,1962,0.541628742
Honduras,Calories,1962,0.466837568
Hungary,Calories,1962,0.589313122
Iceland,Calories,1962,0.586763175
India,Calories,1962,0.611523976
Indonesia,Calories,1962,0.445343833
Iran (Islamic Republic of),Calories,1962,0.665999842
Ireland,Calories,1962,0.59658121
Israel,Calories,1962,0.628962313
Italy,Calories,1962,0.587119232
Jamaica,Calories,1962,0.697580429
Japan,Calories,1962,0.547878942
Jordan,Calories,1962,0.612150414
