Item,FoodGroup,Year,Measurement,NoCountries
Alcoholic beverages,Alcoholic beverages,1961,Calories,121
Animal Products (Total),Animal Products,1961,Calories,152
Apples,Fruits,1961,Calories,73
Bananas & plantains,Fruits,1961,Calories,125
Barley & beer,Alcoholic beverages,1961,Calories,138
Beans,Pulses,1961,Calories,95
Cassava,Starchy roots,1961,Calories,81
Cereals (other),Cereals ,1961,Calories,65
Citrus (other),Fruits,1961,Calories,15
Cloves,Spices & stimulants,1961,Calories,1
Cocoa beans,Spices & stimulants,1961,Calories,78
Coconuts,Oils,1961,Calories,108
Coffee,Spices & stimulants,1961,Calories,77
Cottonseed oil,Oils,1961,Calories,70
Dates,Fruits,1961,Calories,45
Fermented beverages,Alcoholic beverages,1961,Calories,43
Fruits (other),Fruits,1961,Calories,149
Grapefruit,Fruits,1961,Calories,26
Grapes & wine,Alcoholic beverages,1961,Calories,100
Groundnut,Oils,1961,Calories,124
Lemons & limes,Fruits,1961,Calories,48
Maize,Cereals,1961,Calories,124
Millets,Cereals,1961,Calories,48
Miscellaneous,Miscellaneous,1961,Calories,43
Oats,Cereals,1961,Calories,53
Oilcrops (other),Oils,1961,Calories,93
Olives,Oils,1961,Calories,67
Onions,Vegetables,1961,Calories,108
Oranges & mandarines,Fruits,1961,Calories,102
Palm oil,Oils,1961,Calories,59
Peas,Pulses,1961,Calories,66
Pepper,Vegetables,1961,Calories,24
Pimento,Spices & stimulants,1961,Calories,51
Pineapples,Fruits,1961,Calories,57
Potatoes,Starchy roots,1961,Calories,135
Pulses (other),Pulses,1961,Calories,127
Rape & mustard,Spices & stimulants,1961,Calories,39
Rice,Cereals,1961,Calories,147
Roots (other),Starchy roots,1961,Calories,71
Rye,Cereals,1961,Calories,40
Sesame ,Oils,1961,Calories,55
Sorghum,Cereals,1961,Calories,48
Soybean,Oils,1961,Calories,79
Spices (other),Spices & stimulants,1961,Calories,65
Sugar,Sweeteners,1961,Calories,151
Sunflower,Oils,1961,Calories,44
Sweet potatoes,Starchy roots,1961,Calories,83
Sweeteners (other),Sweeteners,1961,Calories,72
Tea,Spices & stimulants,1961,Calories,36
Tomatoes,Vegetables,1961,Calories,94
Treenuts,Oils,1961,Calories,96
Vegetables (other),Vegetables,1961,Calories,151
Wheat,Cereals,1961,Calories,151
Yams,Starchy roots,1961,Calories,42
Alcoholic beverages,Alcoholic beverages,1961,Fat,0
Animal Products (Total),Animal Products,1961,Fat,152
Apples,Fruits,1961,Fat,35
Bananas & plantains,Fruits,1961,Fat,56
Barley & beer,Alcoholic beverages,1961,Fat,22
Beans,Pulses,1961,Fat,65
Cassava,Starchy roots,1961,Fat,51
Cereals (other),Cereals ,1961,Fat,23
Citrus (other),Fruits,1961,Fat,5
Cloves,Spices & stimulants,1961,Fat,1
Cocoa beans,Spices & stimulants,1961,Fat,76
Coconuts,Oils,1961,Fat,107
Coffee,Spices & stimulants,1961,Fat,0
Cottonseed oil,Oils,1961,Fat,71
Dates,Fruits,1961,Fat,11
Fermented beverages,Alcoholic beverages,1961,Fat,1
Fruits (other),Fruits,1961,Fat,129
Grapefruit,Fruits,1961,Fat,1
Grapes & wine,Alcoholic beverages,1961,Fat,19
Groundnut,Oils,1961,Fat,121
Lemons & limes,Fruits,1961,Fat,11
Maize,Cereals,1961,Fat,110
Millets,Cereals,1961,Fat,45
Miscellaneous,Miscellaneous,1961,Fat,6
Oats,Cereals,1961,Fat,33
Oilcrops (other),Oils,1961,Fat,96
Olives,Oils,1961,Fat,71
Onions,Vegetables,1961,Fat,7
Oranges & mandarines,Fruits,1961,Fat,17
Palm oil,Oils,1961,Fat,59
Peas,Pulses,1961,Fat,23
