CountryName,ItemName,FoodGroupName,ElementName,UnitName,Year,Value
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1962,15.92105263
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1986,23.09868421
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1989,23.14473684
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1990,22.61184211
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1995,21.4057635
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,2000,20.91209268
*Global Mean,Alcoholic beverages,Alcoholic beverages,Fat,g/capita/day,1963,0
*Global Mean,Alcoholic beverages,Alcoholic beverages,Fat,g/capita/day,1986,0
*Global Mean,Alcoholic beverages,Alcoholic beverages,Fat,g/capita/day,1989,0
*Global Mean,Alcoholic beverages,Alcoholic beverages,Fat,g/capita/day,1992,0
*Global Mean,Alcoholic beverages,Alcoholic beverages,Fat,g/capita/day,1995,0
*Global Mean,Alcoholic beverages,Alcoholic beverages,Food Weight,g/capita/day,1964,5.812905552
*Global Mean,Alcoholic beverages,Alcoholic beverages,Food Weight,g/capita/day,1971,6.890771449
*Global Mean,Alcoholic beverages,Alcoholic beverages,Food Weight,g/capita/day,1978,8.015501082
*Global Mean,Alcoholic beverages,Alcoholic beverages,Food Weight,g/capita/day,1986,7.898341745
*Global Mean,Alcoholic beverages,Alcoholic beverages,Food Weight,g/capita/day,1989,7.914563807
*Global Mean,Alcoholic beverages,Alcoholic beverages,Food Weight,g/capita/day,1992,7.708590939
*Global Mean,Alcoholic beverages,Alcoholic beverages,Food Weight,g/capita/day,2008,7.744425649
*Global Mean,Alcoholic beverages,Alcoholic beverages,Protein,g/capita/day,1961,0
*Global Mean,Alcoholic beverages,Alcoholic beverages,Protein,g/capita/day,1964,0
*Global Mean,Alcoholic beverages,Alcoholic beverages,Protein,g/capita/day,1982,0.000657895
*Global Mean,Alcoholic beverages,Alcoholic beverages,Protein,g/capita/day,1985,0.000657895
*Global Mean,Animal Products (Total),Animal products,Calories,kcal/capita/day,1967,405.4210526
*Global Mean,Animal Products (Total),Animal products,Calories,kcal/capita/day,1970,427.5855263
*Global Mean,Animal Products (Total),Animal products,Calories,kcal/capita/day,1971,430.9144737
*Global Mean,Animal Products (Total),Animal products,Calories,kcal/capita/day,1974,431.1710526
*Global Mean,Animal Products (Total),Animal products,Calories,kcal/capita/day,1990,472.5131579
*Global Mean,Animal Products (Total),Animal products,Calories,kcal/capita/day,1999,488.3591835
*Global Mean,Animal Products (Total),Animal products,Fat,g/capita/day,1965,28.80592105
*Global Mean,Animal Products (Total),Animal products,Fat,g/capita/day,1966,29.25460526
*Global Mean,Animal Products (Total),Animal products,Fat,g/capita/day,1987,34.275
*Global Mean,Animal Products (Total),Animal products,Fat,g/capita/day,1997,33.78690981
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,1972,394.8666186
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,1973,396.1733958
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,1976,414.776496
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,1987,453.8374189
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,1993,445.2316934
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,1998,461.6952996
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,1999,468.3693676
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,2003,475.7712644
*Global Mean,Animal Products (Total),Animal products,Food Weight,g/capita/day,2007,494.0523678
*Global Mean,Animal Products (Total),Animal products,Protein,g/capita/day,1971,26.10197368
*Global Mean,Animal Products (Total),Animal products,Protein,g/capita/day,1977,28.10921053
*Global Mean,Animal Products (Total),Animal products,Protein,g/capita/day,1981,29.72828947
*Global Mean,Animal Products (Total),Animal products,Protein,g/capita/day,1984,29.95921053
*Global Mean,Animal Products (Total),Animal products,Protein,g/capita/day,1985,30.29210526
*Global Mean,Animal Products (Total),Animal products,Protein,g/capita/day,1992,30.33193597
*Global Mean,Animal Products (Total),Animal products,Protein,g/capita/day,2003,32.94588993
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1964,6.480263158
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1965,5.855263158
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1967,6.888157895
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1981,7.309210526
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1985,7.710526316
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1992,8.509985588
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1996,8.559568407
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,1998,8.282987928
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,2001,8.846366045
*Global Mean,Apples,Fruits,Calories,kcal/capita/day,2007,9.150150024
*Global Mean,Apples,Fruits,Fat,g/capita/day,1963,0.038815789
*Global Mean,Apples,Fruits,Fat,g/capita/day,1968,0.043421053
*Global Mean,Apples,Fruits,Fat,g/capita/day,1970,0.042105263
*Global Mean,Apples,Fruits,Fat,g/capita/day,1975,0.042763158
*Global Mean,Apples,Fruits,Fat,g/capita/day,1977,0.042763158
*Global Mean,Apples,Fruits,Fat,g/capita/day,1992,0.051807395
*Global Mean,Apples,Fruits,Fat,g/capita/day,1994,0.045684253
*Global Mean,Apples,Fruits,Fat,g/capita/day,2003,0.046908875
*Global Mean,Apples,Fruits,Fat,g/capita/day,2004,0.047875795
*Global Mean,Apples,Fruits,Food Weight,g/capita/day,1962,12.87310743
*Global Mean,Apples,Fruits,Food Weight,g/capita/day,1965,12.9109589
*Global Mean,Apples,Fruits,Food Weight,g/capita/day,1973,14.5259553
*Global Mean,Apples,Fruits,Food Weight,g/capita/day,1982,17.99927902
*Global Mean,Apples,Fruits,Food Weight,g/capita/day,1994,18.32746457
*Global Mean,Apples,Fruits,Protein,g/capita/day,1962,0.032236842
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1964,17.06578947
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1968,18.26973684
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1973,20.78289474
*Global Mean,Alcoholic beverages,Alcoholic beverages,Calories,kcal/capita/day,1980,23.51973684
