Item,Measurement,SlopeBT,SlopeCI
Alcoholic beverages,Calories,4.90E-06,4.57E-06
Apples,Calories,2.21E-05,2.63E-06
Bananas & plantains,Calories,-8.27E-05,7.10E-06
Barley & beer,Calories,-3.62E-06,6.64E-06
Beans,Calories,-5.75E-05,5.19E-06
Cassava,Calories,-0.000330105,9.77E-06
Cereals (other),Calories,-0.000154309,3.86E-06
Citrus (other),Calories,1.49E-06,7.62E-07
Cloves,Calories,4.97E-07,2.03E-07
Cocoa beans,Calories,7.10E-05,2.36E-06
Coconuts,Calories,-0.000222505,7.49E-06
Coffee,Calories,7.32E-06,1.36E-06
Cottonseed oil,Calories,-5.66E-05,3.02E-06
Dates,Calories,-1.16E-05,1.98E-06
Fermented beverages,Calories,-5.77E-05,2.82E-06
Fruits (other),Calories,-1.02E-05,5.05E-06
Grapefruit,Calories,1.43E-05,1.14E-06
Grapes & wine,Calories,-8.10E-05,4.42E-06
Groundnut,Calories,-0.000124686,6.00E-06
Lemons & limes,Calories,2.56E-06,8.75E-07
Maize,Calories,3.66E-05,1.84E-05
Millets,Calories,-0.000243943,6.34E-06
Oats,Calories,-3.07E-06,1.69E-06
Oilcrops (other),Calories,4.04E-05,4.38E-06
Olives,Calories,5.56E-06,4.03E-06
Onions,Calories,3.62E-05,2.13E-06
Oranges & mandarines,Calories,3.32E-05,2.79E-06
Palm oil,Calories,0.000360394,6.27E-06
Peas,Calories,5.43E-06,2.24E-06
Pepper,Calories,4.66E-06,6.00E-07
Pimento,Calories,9.06E-06,1.39E-06
Pineapples,Calories,2.22E-05,1.46E-06
Potatoes,Calories,-6.34E-06,7.47E-06
Pulses (other),Calories,-8.01E-05,5.58E-06
Rape & mustard,Calories,0.000208851,3.97E-06
Rice,Calories,0.000170145,2.62E-05
Roots (other),Calories,-0.000164771,5.39E-06
Rye,Calories,-0.000154778,3.62E-06
Sesame,Calories,1.89E-05,2.15E-06
Sorghum,Calories,-0.000350893,7.36E-06
Soybean,Calories,0.000557908,8.14E-06
Spices (other),Calories,2.90E-05,1.68E-06
Sugar,Calories,-8.75E-05,2.35E-05
Sunflower,Calories,0.000275878,5.45E-06
Sweet potatoes,Calories,-0.000138633,4.62E-06
Sweeteners (other),Calories,0.000136131,3.14E-06
Tea,Calories,9.81E-07,7.11E-07
Tomatoes,Calories,4.54E-05,2.41E-06
Treenuts,Calories,6.40E-05,2.97E-06
Vegetables (other),Calories,0.000108457,5.82E-06
Wheat,Calories,0.000209546,3.48E-05
Yams,Calories,-4.44E-05,4.28E-06
Barley & beer,Fat,-6.21E-05,2.08E-05
Beans,Fat,-7.50E-05,3.51E-05
Cereals (other),Fat,-6.54E-05,2.20E-05
Citrus (other),Fat,-8.68E-06,1.01E-05
Cloves,Fat,5.89E-06,7.16E-06
Cocoa beans,Fat,0.000135683,4.70E-05
Coconuts,Fat,-0.00234675,0.000118055
Cottonseed oil,Fat,-0.000650733,6.19E-05
Fruits (other),Fat,-0.000263863,5.22E-05
Groundnut,Fat,-0.001515486,9.94E-05
Maize,Fat,3.58E-05,8.46E-05
Millets,Fat,-0.000236942,3.73E-05
Oats,Fat,-2.89E-05,2.56E-05
Oilcrops (other),Fat,-0.000273672,8.09E-05
Olives,Fat,-0.000442295,7.76E-05
Palm oil,Fat,0.001478126,0.000101549
Pepper,Fat,1.10E-05,7.41E-06
Pineapples,Fat,2.76E-06,8.85E-06
Pulses (other),Fat,-0.000196394,4.26E-05
Rape & mustard,Fat,0.001041572,6.85E-05
Roots (other),Fat,-7.47E-05,2.45E-05
Rye,Fat,-4.83E-05,1.85E-05
Sesame,Fat,2.20E-05,4.49E-05
Sorghum,Fat,-0.000306357,4.16E-05
Soybean,Fat,0.002269977,0.000120279
Spices (other),Fat,9.54E-05,3.52E-05
Sunflower,Fat,0.00113878,9.14E-05
Sweeteners (other),Fat,-1.99E-06,4.55E-06
Treenuts,Fat,0.0001078,5.30E-05
